row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,16.067.771.930.224,13.563.530.667.855,100.0,,16067771930224.0,13563530667855.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,V.1,3.262.850.894.312,746.853.302.518,110.0,,3262850894312.0,746853302518.0
1. Tiền,1. Tiền,1. Tiền,111,,1.048.934.368.507,353.392.278.094,111.0,,1048934368507.0,353392278094.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,2.213.916.525.805,393.461.024.424,112.0,,2213916525805.0,393461024424.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,240.000.000.000,856.900.000.000,120.0,,240000000000.0,856900000000.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,V.2,240.000.000.000,856.900.000.000,123.0,,240000000000.0,856900000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,5.940.889.293.886,5.694.657.217.812,130.0,,5940889293886.0,5694657217812.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,V.3,1.554.676.232.651,1.033.275.651.326,131.0,,1554676232651.0,1033275651326.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,V.4,6.431.154.111,10.370.632.925,132.0,,6431154111.0,10370632925.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,V.5,146.900.000.000,168.681.599.516,135.0,,146900000000.0,168681599516.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,V.6,4.233.013.376.680,4.482.460.803.601,136.0,,4233013376680.0,4482460803601.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,V.7,(131.469.556),(131.469.556),137.0,,-131469556.0,-131469556.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,V.8,6.416.272.690.580,6.072.894.379.906,140.0,,6416272690580.0,6072894379906.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,6.416.272.690.580,6.072.894.379.906,141.0,,6416272690580.0,6072894379906.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,207.759.051.446,192.225.767.619,150.0,,207759051446.0,192225767619.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,V.9,177.912.638.921,166.961.832.844,151.0,,177912638921.0,166961832844.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,-,565.608.729,152.0,,,565608729.0
3. Thuế và các khoản phải thu Nhà nước,3. Thuế và các khoản phải thu Nhà nước,3. Thuế và các khoản phải thu Nhà nước,153,V.15,29.846.412.525,24.698.326.046,153.0,,29846412525.0,24698326046.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,2.075.863.511.678,3.784.855.168.820,200.0,,2075863511678.0,3784855168820.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,246.799.999.999,335.199.999.999,210.0,,246799999999.0,335199999999.0
1. Phải thu về cho vay dài hạn,1. Phải thu về cho vay dài hạn,1. Phải thu về cho vay dài hạn,215,V.5,166.800.000.000,255.200.000.000,215.0,,166800000000.0,255200000000.0
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,V.6,79.999.999.999,79.999.999.999,216.0,,79999999999.0,79999999999.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,131.718.002.818,141.779.330.751,220.0,,131718002818.0,141779330751.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,V.10,127.278.118.000,137.213.324.680,221.0,,127278118000.0,137213324680.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,186.794.371.188,188.039.504.467,222.0,,186794371188.0,188039504467.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,223,,(59.516.253.188),(50.826.179.787),223.0,,-59516253188.0,-50826179787.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,V.11,4.439.884.818,4.566.006.071,227.0,,4439884818.0,4566006071.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,4.999.101.269,4.939.407.600,228.0,,4999101269.0,4939407600.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,229,,(559.216.451),(373.401.529),229.0,,-559216451.0,-373401529.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,V.12,95.100.090.032,97.989.206.684,230.0,,95100090032.0,97989206684.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,144.455.832.878,144.455.832.878,231.0,,144455832878.0,144455832878.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,232,,(49.355.742.846),(46.466.626.194),232.0,,-49355742846.0,-46466626194.0
