row_label_raw,row_label_full,Đất Xanh Miền Nam,Công ty con (đến ngày 28 tháng 12 năm 2022),Tạm ứng phí dịch vụ môi giới,17.453.035.795,-,numeric__Công ty con (đến ngày 28 tháng 12 năm 2022),numeric__Tạm ứng phí dịch vụ môi giới,numeric__17.453.035.795,numeric__-
LinkGroup,LinkGroup,LinkGroup,Công ty con,Tạm ứng phí dịch vụ môi giới,7.914.272.937,6.977.298.099,,,7914272937.0,6977298099.0
DXMD Việt Nam,DXMD Việt Nam,DXMD Việt Nam,Công ty con,Tạm ứng phí dịch vụ môi giới,7.143.959.616,-,,,7143959616.0,
Đất Xanh Premium Đông Nam Bộ,Đất Xanh Premium Đông Nam Bộ,Đất Xanh Premium Đông Nam Bộ,Công ty con (đến ngày 17 tháng 06 năm 2022),Tạm ứng phí dịch vụ môi giới,2.800.750.688,2.738.642.977,,,2800750688.0,2738642977.0
Nam Bộ Invest,Nam Bộ Invest,Nam Bộ Invest,Công ty con(đến ngày 30 tháng 09 năm 2022),Tạm ứng phí dịch vụ môi giới,-,13.215.763.210,,,,13215763210.0
Các công ty khác,Các công ty khác,Các công ty khác,Công ty con,Tạm ứng phí dịch vụ môi giới,961.718.882,2.524.593.867,,,961718882.0,2524593867.0
,,,,,36.273.737.918,28.049.914.345,,,36273737918.0,28049914345.0
