row_label_raw,row_label_full,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,,,,,,
"Công ty Cổ phần Đất Xanh Miền Trung (""Đất Xanh Miền Trung"") (i)","Tên công ty con > Công ty Cổ phần Đất Xanh Miền Trung (""Đất Xanh Miền Trung"") (i)","Công ty Cổ phần Đất Xanh Miền Trung (""Đất Xanh Miền Trung"") (i)",Kinh doanh và môi giới BĐS,Đang hoạt động,55,994.629.900.000,55,812.029.900.000,,,55.0,994629900000.0,55.0,812029900000.0
"Công ty Cổ phần Dịch vụ và Địa ốc Đất Xanh Miền Bắc (""Đất Xanh Miền Bắc"") (ii)","Tên công ty con > Công ty Cổ phần Dịch vụ và Địa ốc Đất Xanh Miền Bắc (""Đất Xanh Miền Bắc"") (ii)","Công ty Cổ phần Dịch vụ và Địa ốc Đất Xanh Miền Bắc (""Đất Xanh Miền Bắc"") (ii)",Kinh doanh và môi giới BĐS,Đang hoạt động,"63,5",890.867.541.498,"63,5",700.367.541.498,,,63.5,890867541498.0,63.5,700367541498.0
"Công ty Cổ phần Bất động sản LinkGroup (""LinkGroup"")","Tên công ty con > Công ty Cổ phần Bất động sản LinkGroup (""LinkGroup"")","Công ty Cổ phần Bất động sản LinkGroup (""LinkGroup"")",Kinh doanh và môi giới BĐS,Đang hoạt động,"80,5",624.783.399.435,"80,5",624.783.399.435,,,80.5,624783399435.0,80.5,624783399435.0
"Công ty Cổ phần Dịch vụ và Đầu tư Đất Xanh Miền Tây (""Đất Xanh Miền Tây"") (iii)","Tên công ty con > Công ty Cổ phần Dịch vụ và Đầu tư Đất Xanh Miền Tây (""Đất Xanh Miền Tây"") (iii)","Công ty Cổ phần Dịch vụ và Đầu tư Đất Xanh Miền Tây (""Đất Xanh Miền Tây"") (iii)",Kinh doanh và môi giới BĐS,Đang hoạt động,61,137.055.920.000,61,112.655.920.000,,,61.0,137055920000.0,61.0,112655920000.0
"Công ty Cổ phần Phát triển Địa ốc Nam Trung Bộ (trước đây là Công ty Cổ phần Dịch vụ Bất Đông Sản Đất Xanh Nam Trung Bộ) (""Nam Trung Bộ"") (iv)","Tên công ty con > Công ty Cổ phần Phát triển Địa ốc Nam Trung Bộ (trước đây là Công ty Cổ phần Dịch vụ Bất Đông Sản Đất Xanh Nam Trung Bộ) (""Nam Trung Bộ"") (iv)","Công ty Cổ phần Phát triển Địa ốc Nam Trung Bộ (trước đây là Công ty Cổ phần Dịch vụ Bất Đông Sản Đất Xanh Nam Trung Bộ) (""Nam Trung Bộ"") (iv)",Kinh doanh và môi giới BĐS,Đang hoạt động,71,118.753.970.550,71,107.152.570.550,,,71.0,118753970550.0,71.0,107152570550.0
"Công ty Cổ phần Công nghệ Ihouzz (""Ihouzz"")","Tên công ty con > Công ty Cổ phần Công nghệ Ihouzz (""Ihouzz"")","Công ty Cổ phần Công nghệ Ihouzz (""Ihouzz"")",Phát triển công nghệ,Đang hoạt động,53,106.000.000.000,53,106.000.000.000,,,53.0,106000000000.0,53.0,106000000000.0
"Công ty Cổ phần Đất Xanh Premium ("" Đất Xanh Premium"")","Tên công ty con > Công ty Cổ phần Đất Xanh Premium ("" Đất Xanh Premium"")","Công ty Cổ phần Đất Xanh Premium ("" Đất Xanh Premium"")",Kinh doanh và môi giới BĐS,Đang hoạt động,59,26.885.120.000,59,26.885.120.000,,,59.0,26885120000.0,59.0,26885120000.0
"Công ty Cổ phần DXMD Việt Nam (trước đây là Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Đông) (""DXMD Việt Nam"") (v)","Tên công ty con > Công ty Cổ phần DXMD Việt Nam (trước đây là Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Đông) (""DXMD Việt Nam"") (v)","Công ty Cổ phần DXMD Việt Nam (trước đây là Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Đông) (""DXMD Việt Nam"") (v)",Kinh doanh và môi giới BĐS,Đang hoạt động,61,22.846.400.000,61,19.369.400.000,,,61.0,22846400000.0,61.0,19369400000.0
"Công ty Cổ phần Dịch vụ Tài chính Bất động sản Tulip (""Bất động sản Tulip"")","Tên công ty con > Công ty Cổ phần Dịch vụ Tài chính Bất động sản Tulip (""Bất động sản Tulip"")","Công ty Cổ phần Dịch vụ Tài chính Bất động sản Tulip (""Bất động sản Tulip"")",Dịch vụ tài chính bất động sản,Đang hoạt động,60,15.904.720.000,60,15.904.720.000,,,60.0,15904720000.0,60.0,15904720000.0
