row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Hà An,Phải thu ngắn hạn khác > Hà An,Hà An,Công ty trong cùng tập đoàn,Ký quỹ môi giới,1.950.650.000.000,1.684.550.000.000,,,1950650000000.0,1684550000000.0
Hà An,Phải thu ngắn hạn khác > Hà An,Hà An,Công ty trong cùng tập đoàn,Tạm hoàn ứng cho chủ đầu tư,2.446.640.760.655,1.578.882.475.033,,,2446640760655.0,1578882475033.0
Hà An,Phải thu ngắn hạn khác > Hà An,Hà An,Công ty trong cùng tập đoàn,Lãi cho vay,1.630.136.987,-,,,1630136987.0,
Charm & CI,Phải thu ngắn hạn khác > Charm & CI,Charm & CI,Công ty trong cùng tập đoàn,Ký quỹ môi giới,222.382.257.533,182.382.257.533,,,222382257533.0,182382257533.0
Đất Xanh Miền Nam,Phải thu ngắn hạn khác > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con(đến ngày 28 tháng 12 năm 2022),Góp vốn theo HĐHTKD,45.379.472.100,36.200.000.000,,,45379472100.0,36200000000.0
Đất Xanh Miền Bắc,Phải thu ngắn hạn khác > Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Cổ tức,16.252.870.000,16.252.870.000,,,16252870000.0,16252870000.0
Đất Xanh Miền Tây,Phải thu ngắn hạn khác > Đất Xanh Miền Tây,Đất Xanh Miền Tây,Công ty con,Cổ tức,9.988.304.094,4.494.736.843,,,9988304094.0,4494736843.0
Đất Xanh Miền Tây,Phải thu ngắn hạn khác > Đất Xanh Miền Tây,Đất Xanh Miền Tây,Công ty con,Góp vốn theo HĐHTKD,7.000.000.000,7.500.000.000,,,7000000000.0,7500000000.0
Đất Xanh Miền Trung,Phải thu ngắn hạn khác > Đất Xanh Miền Trung,Đất Xanh Miền Trung,Công ty con,Cổ tức,9.900.000.000,-,,,9900000000.0,
DXG,Phải thu ngắn hạn khác > DXG,DXG,Công ty mẹ,Chi hộ,2.480.489.982,2.461.012.482,,,2480489982.0,2461012482.0
Đông Nam Bộ,Phải thu ngắn hạn khác > Đông Nam Bộ,Đông Nam Bộ,Công ty con(đến ngày 17 tháng 06 năm 2022),Góp vốn theo HĐHTKD,-,45.179.472.100,,,,45179472100.0
Đông Nam Bộ,Phải thu ngắn hạn khác > Đông Nam Bộ,Đông Nam Bộ,Công ty con(đến ngày 17 tháng 06 năm 2022),Cổ tức,-,4.057.318.421,,,,4057318421.0
Các công ty khác,Phải thu ngắn hạn khác > Các công ty khác,Các công ty khác,Công ty con,Khác,6.469.027.778,7.545.915.495,,,6469027778.0,7545915495.0
,,,,,4.718.773.319.129,3.569.506.057.907,,,4718773319129.0,3569506057907.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
Hà An,Phải thu về cho vay ngắn hạn > Hà An,Hà An,Công ty trong cùng tập đoàn,Cho vay,100.000.000.000,-,,,100000000000.0,
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Đất Xanh Miền Nam,Phải trả người bán ngắn hạn > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con (đến ngày 28 tháng 12 năm 2022),Phí dịch vụ môi giới,-,29.999.994.759,,,,29999994759.0
DXMD Việt Nam,Phải trả người bán ngắn hạn > DXMD Việt Nam,DXMD Việt Nam,Công ty con,Phí dịch vụ môi giới,-,1.480.457.203,,,,1480457203.0
Đất Xanh Miền Bắc,Phải trả người bán ngắn hạn > Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Phí dịch vụ môi giới,-,960.559.821,,,,960559821.0
Đông Nam Bộ,Phải trả người bán ngắn hạn > Đông Nam Bộ,Đông Nam Bộ,Công ty con (đến ngày 17 tháng 06 năm 2022),Phí dịch vụ môi giới,-,459.123.893,,,,459123893.0
Các công ty khác,Phải trả người bán ngắn hạn > Các công ty khác,Các công ty khác,Công ty con,Phí dịch vụ môi giới,5.965.849.869,3.884.934.940,,,5965849869.0,3884934940.0
,,,,,5.965.849.869,36.785.070.616,,,5965849869.0,36785070616.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Ihouzz,Vay ngắn hạn > Ihouzz,Ihouzz,Công ty con,Vay,27.500.000.000,27.500.000.000,,,27500000000.0,27500000000.0
