row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,,
Ihouzz,Phải trả ngắn hạn khác > Ihouzz,Ihouzz,Công ty con,Góp vốn theo HĐHTKD,20.000.000.000,20.000.000.000,,,20000000000.0,20000000000.0
Đất Xanh Miền Nam,Phải trả ngắn hạn khác > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con (đến 28 tháng 12 năm 2022),Nhận ký quỹ,11.380.000.000,51.380.000.000,,,11380000000.0,51380000000.0
LinkGroup,Phải trả ngắn hạn khác > LinkGroup,LinkGroup,Công ty con,Nhận ký quỹ,11.000.000.000,11.400.000.000,,,11000000000.0,11400000000.0
Hà An,Phải trả ngắn hạn khác > Hà An,Hà An,Công ty trong cùng tập đoàn,Thu hộ,8.535.927.286,2.611.369.904,,,8535927286.0,2611369904.0
Đất Xanh Premium,Phải trả ngắn hạn khác > Đất Xanh Premium,Đất Xanh Premium,Công ty con,Nhận ký quỹ,7.000.000.000,5.000.000.000,,,7000000000.0,5000000000.0
Asahi,Phải trả ngắn hạn khác > Asahi,Asahi,Công ty con,Nhận ký quỹ,3.500.000.000,500.000.000,,,3500000000.0,500000000.0
DXMD Việt Nam,Phải trả ngắn hạn khác > DXMD Việt Nam,DXMD Việt Nam,Công ty con,Nhận ký quỹ,3.000.000.000,5.000.000.000,,,3000000000.0,5000000000.0
Nam Trung Bộ,Phải trả ngắn hạn khác > Nam Trung Bộ,Nam Trung Bộ,Công ty con,Nhận ký quỹ,1.000.000.000,1.000.000.000,,,1000000000.0,1000000000.0
Tiptek,Phải trả ngắn hạn khác > Tiptek,Tiptek,Công ty con,Nhận ký quỹ,1.000.000.000,1.000.000.000,,,1000000000.0,1000000000.0
Linkhouse,Phải trả ngắn hạn khác > Linkhouse,Linkhouse,Công ty con,Nhận ký q30 thánguỹ,400.000.000,840.000.000,,,400000000.0,840000000.0
Đông Nam Bộ,Phải trả ngắn hạn khác > Đông Nam Bộ,Đông Nam Bộ,Công ty con (đến ngày 17 tháng 06 năm 2022),Nhận ký quỹ,-,4.000.000.000,,,,4000000000.0
Đất Xanh Miền Bắc,Phải trả ngắn hạn khác > Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Nhận ký quỹ,-,3.500.000.000,,,,3500000000.0
Nam Bộ Invest,Phải trả ngắn hạn khác > Nam Bộ Invest,Nam Bộ Invest,Công ty con (đến ngày 30 tháng 9 năm 2022),Nhận ký quỹ,-,2.000.000.000,,,,2000000000.0
Đất Xanh Miền Tây,Phải trả ngắn hạn khác > Đất Xanh Miền Tây,Đất Xanh Miền Tây,Công ty con,Nhận ký quỹ,-,2.000.000.000,,,,2000000000.0
Bất Đông Sản Plus,Phải trả ngắn hạn khác > Bất Đông Sản Plus,Bất Đông Sản Plus,Công ty con (đến ngày 30 tháng 09 năm 2022),Góp vốn theo HĐHTKD,-,500.000.000,,,,500000000.0
