row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,3.224.710.220.000,340.683.172.475,527.006.880.127,4.092.400.272.602,3224710220000.0,340683172475.0,527006880127.0,4092400272602.0
Tăng vốn,Năm trước > Tăng vốn,Tăng vốn,357.301.860.000,764.677.916.235,-,1.121.979.776.235,357301860000.0,764677916235.0,,1121979776235.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,292.173.994.120,292.173.994.120,,,292173994120.0,292173994120.0
"Trích quỹ khen thưởng, phúc lợi","Năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,(26.197.520.368),(26.197.520.368),,,-26197520368.0,-26197520368.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,3.582.012.080.000,1.105.361.088.710,792.983.353.879,5.480.356.522.589,3582012080000.0,1105361088710.0,792983353879.0,5480356522589.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,3.582.012.080.000,1.105.361.088.710,792.983.353.879,5.480.356.522.589,3582012080000.0,1105361088710.0,792983353879.0,5480356522589.0
Cổ tức công bố (*),Năm nay > Cổ tức công bố (*),Cổ tức công bố (*),648.329.150.000,-,(648.329.150.000),-,648329150000.0,,-648329150000.0,
Tăng vốn (*),Năm nay > Tăng vốn (*),Tăng vốn (*),300.882.540.000,(300.857.540.000),-,25.000.000,300882540000.0,-300857540000.0,,25000000.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,451.186.585.509,451.186.585.509,,,451186585509.0,451186585509.0
"Trích quỹ khen thưởng, phúc lợi","Năm nay > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,(16.163.865.945),(16.163.865.945),,,-16163865945.0,-16163865945.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,4.531.223.770.000,804.503.548.710,579.676.923.443,5.915.404.242.153,4531223770000.0,804503548710.0,579676923443.0,5915404242153.0
