row_label_raw,row_label_full,Chi phí thuế TNDN hiện hànhĐiều chỉnh thuế TNDN trích (thừa) thiéutrong năm trước,Năm nay > 561.255.250 > (3.095.388.961),VNDNăm trước > - > 346.156.245,numeric__Năm nay > 561.255.250 > (3.095.388.961),numeric__VNDNăm trước > - > 346.156.245
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,-,160.563.702,,160563702.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,(2.534.133.711),506.719.947,-2534133711.0,506719947.0
