row_label_raw,row_label_full,STT,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ phần sở hữu trực tiếp,Tỷ lệ quyền biểu quyết nắm giữ,Hoạt động chính,numeric__Tên công ty con,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần sở hữu trực tiếp,numeric__Tỷ lệ quyền biểu quyết nắm giữ,numeric__Hoạt động chính
1.,1.,1.,Công ty TNHH Vận hành Vincom Retail (i),Hà Nội,"100,00%","100,00%","Cho thuê trung tâm thương mại, văn phòng, cung cấp các dịch vụ liên quan, kinh doanh bất động sản và dịch vụ vui chơi giải trí",,,1.0,1.0,
2.,2.,2.,Công ty TNHH Đầu tư và Phát triển Đô thị Suối Hoa (i),Bắc Ninh,Đã sáp nhập vào Công ty TNHH Vận hành Vincom Retail,Đã sáp nhập vào Công ty TNHH Vận hành Vincom Retail,"Cho thuê trung tâm thương mại, văn phòng, cung cấp các dịch vụ liên quan, kinh doanh bất động sản và dịch vụ vui chơi giải trí",,,,,
3.,2. > 3.,3.,Công ty TNHH Vincom Retail Landmark 81,Thành phố Hồ Chí Minh,"100,00%","100,00%","Cho thuê trung tâm thương mại, văn phòng, cung cấp các dịch vụ liên quan, kinh doanh bất động sản và dịch vụ vui chơi giải trí",,,1.0,1.0,
4.,4.,4.,Công ty TNHH Bất động sản Vincom NCT (ii),Hà Nội,Không còn là công ty con,Không còn là công ty con,"Cho thuê trung tâm thương mại, văn phòng, cung cấp các dịch vụ liên quan, kinh doanh bất động sản và dịch vụ vui chơi giải trí",,,,,
