row_label_raw,row_label_full,Chỉ tiêu,Kinh doanh và chuyển nhượng bắt động sản,Hoạt động cho thuê và các dịch vụ liên quan,Khác,Tổng,numeric__Kinh doanh và chuyển nhượng bắt động sản,numeric__Hoạt động cho thuê và các dịch vụ liên quan,numeric__Khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,169.768,8.399.570,268.042,8.837.380,169768.0,8399570.0,268042.0,8837380.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,85.243,3.778.788,241.306,4.105.337,85243.0,3778788.0,241306.0,4105337.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,84.525,4.620.782,26.736,4.732.043,84525.0,4620782.0,26736.0,4732043.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,,,270.990,,,,270990.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,567.984,,,,567984.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,4.751.336,,,,4751336.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,1.064.552,,,,1064552.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,,,,503.325,,,,503325.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,,,,8.083.178,,,,8083178.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,1.637.254,,,,1637254.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,6.445.924,,,,6445924.0
