row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Thiết bị văn phòng,Tài sản khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Thiết bị văn phòng,numeric__Tài sản khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,115.231,314.336,27.499,22.925,479.991,115231.0,314336.0,27499.0,22925.0,479991.0
Mua mối trong năm,NGUYÊN GIÁ > Mua mối trong năm,Mua mối trong năm,46.341,7.960,-,-,54.301,46341.0,7960.0,,,54301.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,41.446,-,-,41.446,,41446.0,,,41446.0
Giảm do thoái vốn ở công ty con,NGUYÊN GIÁ > Giảm do thoái vốn ở công ty con,Giảm do thoái vốn ở công ty con,(226),(2.299),-,(401),(2.926),-226.0,-2299.0,,-401.0,-2926.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.130),(4.422),(111),-,(6.663),-2130.0,-4422.0,-111.0,,-6663.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,159.216,357.021,27.388,22.524,566.149,159216.0,357021.0,27388.0,22524.0,566149.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,32.224,205.334,22.797,17.001,277.356,32224.0,205334.0,22797.0,17001.0,277356.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,4.953,24.295,2.289,2.336,33.873,4953.0,24295.0,2289.0,2336.0,33873.0
Giảm do thoái vốn ở công ty con,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do thoái vốn ở công ty con,Giảm do thoái vốn ở công ty con,(226),(1.610),-,(359),(2.195),-226.0,-1610.0,,-359.0,-2195.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.130),(3.913),(111),-,(6.154),-2130.0,-3913.0,-111.0,,-6154.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,34.821,224.106,24.975,18.978,302.880,34821.0,224106.0,24975.0,18978.0,302880.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,83.007,109.002,4.702,5.924,202.635,83007.0,109002.0,4702.0,5924.0,202635.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,124.395,132.915,2.413,3.546,263.269,124395.0,132915.0,2413.0,3546.0,263269.0
