row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc và quyền sử dụng đất","Máy móc, thiết bị",Tổng,"numeric__Nhà cửa, vật kiến trúc và quyền sử dụng đất","numeric__Máy móc, thiết bị",numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,31.334.614,7.019.389,38.354.003,31334614.0,7019389.0,38354003.0
Xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Xây dựng cơ bản hoàn thành,Xây dựng cơ bản hoàn thành,2.434.841,292.664,2.727.505,2434841.0,292664.0,2727505.0
Giảm do thoái vốn ở công ty con,NGUYÊN GIÁ > Giảm do thoái vốn ở công ty con,Giảm do thoái vốn ở công ty con,(1.654.180),(210.649),(1.864.829),-1654180.0,-210649.0,-1864829.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(40.163),(6.610),(46.773),-40163.0,-6610.0,-46773.0
Khác,NGUYÊN GIÁ > Khác,Khác,39.388,(30.912),8.476,39388.0,-30912.0,8476.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,32.114.500,7.063.882,39.178.382,32114500.0,7063882.0,39178382.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,6.634.817,4.634.789,11.269.606,6634817.0,4634789.0,11269606.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,806.815,482.272,1.289.087,806815.0,482272.0,1289087.0
Giảm do thoái vốn ở công ty con,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do thoái vốn ở công ty con,Giảm do thoái vốn ở công ty con,(419.179),(142.070),(561.249),-419179.0,-142070.0,-561249.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(30.708),(5.022),(35.730),-30708.0,-5022.0,-35730.0
Khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Khác,Khác,(1.112),(13.480),(14.592),-1112.0,-13480.0,-14592.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,6.990.633,4.956.489,11.947.122,6990633.0,4956489.0,11947122.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,24.699.797,2.384.600,27.084.397,24699797.0,2384600.0,27084397.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,25.123.867,2.107.393,27.231.260,25123867.0,2107393.0,27231260.0
