row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Triệu VND > Số có khả năngtrả nợ,Trong năm > Tăng,Trong năm > Triệu VND > Giảm,Số cuối năm > Giá trị,Số cuối năm > Triệu VND > Số có khả năngtrả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Triệu VND > Số có khả năngtrả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Triệu VND > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Triệu VND > Số có khả năngtrả nợ
Khoản vay hợp vốn dài hạn,Khoản vay hợp vốn dài hạn,Khoản vay hợp vốn dài hạn,2.350.770,2.350.770,6.208.269,2.350.770,6.208.269,6.208.269,2350770.0,2350770.0,6208269.0,2350770.0,6208269.0,6208269.0
Nợ thuê tài chính dài hạn với bênliên quan (Chỉ tiết tại Thuyết minhsố 41),Nợ thuê tài chính dài hạn với bênliên quan (Chỉ tiết tại Thuyết minhsố 41),Nợ thuê tài chính dài hạn với bênliên quan (Chỉ tiết tại Thuyết minhsố 41),193.658,193.658,22.157,23.003,192.812,192.812,193658.0,193658.0,22157.0,23003.0,192812.0,192812.0
,,,2.544.428,2.544.428,6.230.426,2.373.773,6.401.081,6.401.081,2544428.0,2544428.0,6230426.0,2373773.0,6401081.0,6401081.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
- Số phải trả trong vòng 12 tháng,Trong đó: > - Số phải trả trong vòng 12 tháng,- Số phải trả trong vòng 12 tháng,21.325,,,,20.626,,21325.0,,,,20626.0,
- Số phải trả sau 12 tháng,Trong đó: > - Số phải trả sau 12 tháng,- Số phải trả sau 12 tháng,2.523.103,,,,6.380.455,,2523103.0,,,,6380455.0,
