row_label_raw,row_label_full,col_0,Phần mềmmáy tính,numeric__Phần mềmmáy tính
,,,Triệu VND,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,88.456,88456.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,110,110.0
Giảm do thoái vốn ở công ty con,NGUYÊN GIÁ > Giảm do thoái vốn ở công ty con,Giảm do thoái vốn ở công ty con,(189),-189.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,88.377,88377.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,
Số dư đầu năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,69.697,69697.0
Khấu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,9.006,9006.0
Giảm do thoái vốn ở công ty con,GIÁ TRỊ HAO MÔN LỦY KẾ > Giảm do thoái vốn ở công ty con,Giảm do thoái vốn ở công ty con,(144),-144.0
Số dư cuối năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,78.559,78559.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,18.759,18759.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,9.818,9818.0
