row_label_raw,row_label_full,col_0,Thiết bịvăn phòng,Tổng,numeric__Thiết bịvăn phòng,numeric__Tổng
,,,VND,VND,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Tại ngày 01/01/2021,NGUYÊN GIÁ > Tại ngày 01/01/2021,Tại ngày 01/01/2021,2.985.914.820,2.985.914.820,2985914820.0,2985914820.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,235.673.416,235.673.416,235673416.0,235673416.0
Tại ngày 31/12/2021,NGUYÊN GIÁ > Tại ngày 31/12/2021,Tại ngày 31/12/2021,3.221.588.236,3.221.588.236,3221588236.0,3221588236.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
Tại ngày 01/01/2021,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2021,Tại ngày 01/01/2021,2.985.914.820,2.985.914.820,2985914820.0,2985914820.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,45.112.712,45.112.712,45112712.0,45112712.0
Tại ngày 31/12/2021,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2021,Tại ngày 31/12/2021,3.031.027.532,3.031.027.532,3031027532.0,3031027532.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Tại ngày 01/01/2021,Tại ngày 01/01/2021,Tại ngày 01/01/2021,-,-,,
Tại ngày 31/12/2021,Tại ngày 01/01/2021 > Tại ngày 31/12/2021,Tại ngày 31/12/2021,190.560.704,190.560.704,190560704.0,190560704.0
Nguyên giá TSCĐ hết khấu hao còn sử dụng,Tại ngày 01/01/2021 > Nguyên giá TSCĐ hết khấu hao còn sử dụng,Nguyên giá TSCĐ hết khấu hao còn sử dụng,2.985.914.820,2.985.914.820,2985914820.0,2985914820.0
