row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,31/12/2021,01/01/2021,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2021,numeric__01/01/2021
C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,300,,1.722.961.775.729,612.448.672.448,300.0,,1722961775729.0,612448672448.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,1.178.775.386.836,390.679.307.367,310.0,,1178775386836.0,390679307367.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,17,426.929.559.364,146.094.362,311.0,17.0,426929559364.0,146094362.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,,64.909.091,74.988.091,312.0,,64909091.0,74988091.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,14,104.865.997.643,41.940.819.301,313.0,14.0,104865997643.0,41940819301.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,12.842.473.294,20.904.811.364,314.0,,12842473294.0,20904811364.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,15,345.710.353.891,73.454.104.506,315.0,15.0,345710353891.0,73454104506.0
6. Phải trả ngắn hạn khác,6. Phải trả ngắn hạn khác,6. Phải trả ngắn hạn khác,319,16,172.162.093.553,103.398.489.743,319.0,16.0,172162093553.0,103398489743.0
7. Vay và nợ thuê tài chính ngắn hạn,7. Vay và nợ thuê tài chính ngắn hạn,7. Vay và nợ thuê tài chính ngắn hạn,320,18,116.200.000.000,150.760.000.000,320.0,18.0,116200000000.0,150760000000.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,544.186.388.893,221.769.365.081,330.0,,544186388893.0,221769365081.0
1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,337,16,2.520.000.000,11.650.000.000,337.0,16.0,2520000000.0,11650000000.0
2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,338,18,541.666.388.893,210.119.365.081,338.0,18.0,541666388893.0,210119365081.0
D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,400,,4.697.378.283.250,1.758.074.638.691,400.0,,4697378283250.0,1758074638691.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,19,4.697.378.283.250,1.758.074.638.691,410.0,19.0,4697378283250.0,1758074638691.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,3.188.175.470.000,1.600.000.000.000,411.0,,3188175470000.0,1600000000000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.188.175.470.000,1.600.000.000.000,,,3188175470000.0,1600000000000.0
2. Thắng dư vốn cổ phần,2. Thắng dư vốn cổ phần,2. Thắng dư vốn cổ phần,412,,937.623.735.000,-,412.0,,937623735000.0,
3. Lợi nhuận sau thuế chưa phân phối,3. Lợi nhuận sau thuế chưa phân phối,3. Lợi nhuận sau thuế chưa phân phối,421,,571.579.078.250,158.074.638.691,421.0,,571579078250.0,158074638691.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,158.074.638.691,61.368.977.825,,,158074638691.0,61368977825.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,413.504.439.559,96.705.660.866,,,413504439559.0,96705660866.0
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,,6.420.340.058.979,2.370.523.311.139,440.0,,6420340058979.0,2370523311139.0
