row_label_raw,row_label_full,col_0,31/12/2021 > Giá trị > VND,31/12/2021 > Kỳ hạn > Năm,01/01/2021 > Giá trị > VND,01/01/2021 > Kỳ hạn > Năm,numeric__31/12/2021 > Giá trị > VND,numeric__31/12/2021 > Kỳ hạn > Năm,numeric__01/01/2021 > Giá trị > VND,numeric__01/01/2021 > Kỳ hạn > Năm
Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,18.200.000.000,,150.760.000.000,,18200000000.0,,150760000000.0,
Mệnh giá Trái phiếu KHL082022,Mệnh giá Trái phiếu KHL082022,Mệnh giá Trái phiếu KHL082022,18.200.000.000,3,-,-,18200000000.0,3.0,,
Mệnh giá Trái phiếu KHLH2021002,Mệnh giá Trái phiếu KHLH2021002,Mệnh giá Trái phiếu KHLH2021002,-,-,150.760.000.000,1,,,150760000000.0,1.0
Trái phiếu dài hạn,Trái phiếu dài hạn,Trái phiếu dài hạn,539.666.388.893,,210.119.365.081,,539666388893.0,,210119365081.0,
Mệnh giá Trái phiếu KHL082022,Mệnh giá Trái phiếu KHL082022,Mệnh giá Trái phiếu KHL082022,-,-,18.200.000.000,3,,,18200000000.0,3.0
Mệnh giá Trái phiếu BOND.KHL2020.01,Mệnh giá Trái phiếu BOND.KHL2020.01,Mệnh giá Trái phiếu BOND.KHL2020.01,200.000.000.000,3,200.000.000.000,3,200000000000.0,3.0,200000000000.0,3.0
Mệnh giá Trái phiếu KHGH2123001,Mệnh giá Trái phiếu KHGH2123001,Mệnh giá Trái phiếu KHGH2123001,300.000.000.000,"1,5",-,-,300000000000.0,1.5,,
Mệnh giá Trái phiếu KHGH2123002,Mệnh giá Trái phiếu KHGH2123002,Mệnh giá Trái phiếu KHGH2123002,46.000.000.000,"1,5",-,-,46000000000.0,1.5,,
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(6.333.611.107),-,(8.080.634.919),-,-6333611107.0,,-8080634919.0,
Cộng,Cộng,Cộng,557.866.388.893,,360.879.365.081,,557866388893.0,,360879365081.0,
