row_label_raw,row_label_full,Họ và tên,Chức danh,Năm 2021,Năm 2020,numeric__Chức danh,numeric__Năm 2021,numeric__Năm 2020
Họ và tên,Họ và tên,Họ và tên,Chức danh,VND,VND,,,
Ông Nguyễn Khải Hoàn,Họ và tên > Ông Nguyễn Khải Hoàn,Ông Nguyễn Khải Hoàn,Chủ tịch HĐQT,36.000.000,-,,36000000.0,
Bà Đình Thị Nhật Hạnh,Họ và tên > Bà Đình Thị Nhật Hạnh,Bà Đình Thị Nhật Hạnh,"Phó chủ tịch HĐQT, Tổng giám đốc",1.111.300.000,535.800.000,,1111300000.0,535800000.0
Ông Võ Công Sơn,Họ và tên > Ông Võ Công Sơn,Ông Võ Công Sơn,Thành viên HĐQT,905.300.000,535.800.000,,905300000.0,535800000.0
Bà Võ Thị Hồng Mai,Họ và tên > Bà Võ Thị Hồng Mai,Bà Võ Thị Hồng Mai,Thành viên HĐQT (Miễn nhiệm ngày 29/12/2020),-,120.500.000,,,120500000.0
Ông Phùng Quang Hải,Họ và tên > Ông Phùng Quang Hải,Ông Phùng Quang Hải,"Thành viên HĐQT, Phó Tổng giám đốc (Bổ nhiệm ngày 14/08/2021)",359.625.000,-,,359625000.0,
Ông Nguyễn Thế Trung,Họ và tên > Ông Nguyễn Thế Trung,Ông Nguyễn Thế Trung,"Thành viên HĐQT, Phó Tổng giám đốc (Miễn nhiệm ngày 14/08/2021)",872.875.000,140.500.000,,872875000.0,140500000.0
Bà Phạm Thị Minh Phụ,Họ và tên > Bà Phạm Thị Minh Phụ,Bà Phạm Thị Minh Phụ,"Thành viên HĐQT, Phó Tổng giám đốc",640.300.000,90.500.000,,640300000.0,90500000.0
Bà Vũ Thị Thanh Tâm,Họ và tên > Bà Vũ Thị Thanh Tâm,Bà Vũ Thị Thanh Tâm,Thành viên HĐQT (Miễn nhiệm ngày 14/08/2021),399.791.667,35.500.000,,399791667.0,35500000.0
Ông Trần Mạnh Toàn,Họ và tên > Ông Trần Mạnh Toàn,Ông Trần Mạnh Toàn,Thành viên HĐQT độc lập (Bổ nhiệm ngày 14/08/2021),9.125.000,-,,9125000.0,
Cộng,Họ và tên > Cộng,Cộng,,4.334.316.667,1.458.600.000,,4334316667.0,1458600000.0
