row_label_raw,row_label_full,Mã số,Năm 2021,Năm 2020,numeric__Năm 2021,numeric__Năm 2020
01,01,01,517.281.777.725,121.202.683.484,517281777725.0,121202683484.0
02,02,02,126.941.042,72.730.052,126941042.0,72730052.0
05,05,05,(79.833.859.359),(45.594.894.089),-79833859359.0,-45594894089.0
06,06,06,58.905.076.008,23.292.895.481,58905076008.0,23292895481.0
08,08,08,496.479.935.416,98.973.414.928,496479935416.0,98973414928.0
09,09,09,(3.243.200.350.420),19.702.859.525,-3243200350420.0,19702859525.0
10,10,10,(394.782.593.511),-,-394782593511.0,
11,11,11,723.158.495.772,116.980.477.930,723158495772.0,116980477930.0
12,12,12,1.206.516.470,(10.469.721.923),1206516470.0,-10469721923.0
14,14,14,(48.817.807.859),(29.169.395.304),-48817807859.0,-29169395304.0
15,15,15,(23.497.022.618),(4.208.568.067),-23497022618.0,-4208568067.0
20,20,20,(2.489.452.826.750),191.809.067.089,-2489452826750.0,191809067089.0
21,21,21,(343.708.475),-,-343708475.0,
23,23,23,(2.000.000.000),(800.000.000.000),-2000000000.0,-800000000000.0
27,27,27,72.673.859.359,28.888.610,72673859359.0,28888610.0
30,30,30,70.330.150.884,(799.971.111.390),70330150884.0,-799971111390.0
31,31,31,2.525.799.205.000,400.000.000.000,2525799205000.0,400000000000.0
33,33,33,495.240.000.000,350.760.000.000,495240000000.0,350760000000.0
34,34,34,(200.000.000.000),-,-200000000000.0,
40,40,40,2.821.039.205.000,750.760.000.000,2821039205000.0,750760000000.0
50,50,50,401.916.529.134,142.597.955.699,401916529134.0,142597955699.0
60,60,60,161.891.071.672,19.293.115.973,161891071672.0,19293115973.0
70,70,70,563.807.600.806,161.891.071.672,563807600806.0,161891071672.0
