row_label_raw,row_label_full,Ông Nguyễn Khải Hoàn,Chủ tịch,numeric__Chủ tịch
Bà Đình Thị Nhật Hạnh,Bà Đình Thị Nhật Hạnh,Bà Đình Thị Nhật Hạnh,Phó chủ tịch,
Ông Võ Công Sơn,Ông Võ Công Sơn,Ông Võ Công Sơn,Thành viên,
Ông Phùng Quang Hải,Ông Phùng Quang Hải,Ông Phùng Quang Hải,Thành viên (Bỗ nhiệm ngày 14/08/2021),
Ông Nguyễn Thế Trung,Ông Nguyễn Thế Trung,Ông Nguyễn Thế Trung,Thành viên (Miễn nhiệm ngày 14/08/2021),
Bà Phạm Thị Minh Phụ,Bà Phạm Thị Minh Phụ,Bà Phạm Thị Minh Phụ,Thành viên,
Bà Vũ Thị Thanh Tâm,Bà Vũ Thị Thanh Tâm,Bà Vũ Thị Thanh Tâm,Thành viên (Miễn nhiệm ngày 14/08/2021),
Ông Trần Mạnh Toàn,Ông Trần Mạnh Toàn,Ông Trần Mạnh Toàn,Thành viên độc lập (Bỗ nhiệm ngày 14/08/2021),
