row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,31/12/2020 VND,01/01/2020 VND,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2020 VND,numeric__01/01/2020 VND
C.,C.,C.,NỘ PHẢI TRẢ,300,,2.544.964.442.741,2.577.780.060.033,,300.0,,2544964442741.0,2577780060033.0
I.,I.,I.,Nợ ngắn hạn,310,,2.517.260.603.822,2.553.192.509.856,,310.0,,2517260603822.0,2553192509856.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,16,382.734.453.855,488.242.209.532,,311.0,16.0,382734453855.0,488242209532.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,17,59.828.397.538,27.384.977.885,,312.0,17.0,59828397538.0,27384977885.0
3.,3.,3.,Thuế và các khoản khác phải nộp Nhà nước,313,18,125.910.909.419,140.889.903.972,,313.0,18.0,125910909419.0,140889903972.0
4.,4.,4.,Phải trả người lao động,314,,132.303.537.522,139.908.181.574,,314.0,,132303537522.0,139908181574.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,19,3.045.149.728,6.583.411.474,,315.0,19.0,3045149728.0,6583411474.0
6.,6.,6.,Phải trả ngắn hạn khác,319,20.a,20.990.491.475,19.294.323.498,,319.0,,20990491475.0,19294323498.0
7.,7.,7.,Vay và nợ thuê tài chính ngắn hạn,320,21,1.723.009.678.809,1.664.732.020.504,,320.0,21.0,1723009678809.0,1664732020504.0
8.,8.,8.,"Quỹ khen thưởng, phúc lợi",322,22,69.437.985.476,66.157.481.417,,322.0,22.0,69437985476.0,66157481417.0
II.,II.,II.,Nợ dài hạn,330,,27.703.838.919,24.587.550.177,,330.0,,27703838919.0,24587550177.0
1.,1.,1.,Phải trả dài hạn khác,337,20.b,20.464.176.088,19.307.101.887,,337.0,,20464176088.0,19307101887.0
2.,2.,2.,Quỹ phát triển khoa học và công nghệ,343,22,7.239.662.831,5.280.448.290,,343.0,22.0,7239662831.0,5280448290.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,6.605.366.506.554,6.470.022.366.408,,400.0,,6605366506554.0,6470022366408.0
I.,I.,I.,Vốn chủ sở hữu,410,23,6.605.366.506.554,6.469.522.366.408,,410.0,23.0,6605366506554.0,6469522366408.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,23,3.569.399.550.000,3.569.399.550.000,,411.0,23.0,3569399550000.0,3569399550000.0
1.,1.,1.,- Cổ phiếu phổ thông có quyền biểu quyết,411a,23,3.569.399.550.000,3.569.399.550.000,,,23.0,3569399550000.0,3569399550000.0
1.,1.,1.,- Cổ phiếu ưu đãi,411b,,-,-,,,,,
2.,1. > 2.,2.,Thặng dư vốn cổ phần,412,23,353.499.663.780,353.499.663.780,,412.0,23.0,353499663780.0,353499663780.0
3.,1. > 3.,3.,Cổ phiếu quỹ,415,23,(834.457.318.216),(834.457.318.216),,415.0,23.0,-834457318216.0,-834457318216.0
4.,1. > 4.,4.,Quỹ đầu tư phát triển,418,23,606.577.096.243,567.823.798.211,,418.0,23.0,606577096243.0,567823798211.0
5.,1. > 5.,5.,Lợi nhuận sau thuế chưa phân phối,421,23,2.910.347.514.747,2.813.256.672.633,,421.0,23.0,2910347514747.0,2813256672633.0
5.,1. > 5.,5.,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,2.008.072.233.590,1.672.182.746.567,,,,2008072233590.0,1672182746567.0
5.,1. > 5.,5.,- LNST chưa phân phối kỳ này,421b,,902.275.281.157,1.141.073.926.066,,,,902275281157.0,1141073926066.0
6.,1. > 6.,6.,Lợi ích cổ đông không kiểm soát,429,,-,-,,429.0,,,
II.,1. > II.,II.,Nguồn kinh phí và quỹ khác,430,,-,500.000.000,,430.0,,,500000000.0
1.,1. > 1.,1.,Nguồn kinh phí,431,,-,500.000.000,,431.0,,,500000000.0
2.,1. > 2.,2.,Nguồn kinh phí đã hình thành TSCĐ,432,,-,-,,432.0,,,
,,,TỔNG CỘNG NGUỒN VỐN,440,,9.150.330.949.295,9.047.802.426.441,,440.0,,9150330949295.0,9047802426441.0
