row_label_raw,row_label_full,31/12/2020,Tài sản của bộ phận > Nguyên giá TSCĐ HH,Tài sản của bộ phận > Hao mòn lũy kế,Tài sản của bộ phận > Nợ phải thu,Tài sản của bộ phận > Tổng tài sản,Tài sản của bộ phận > Nợ phải trả,Khấu hao TSCĐ Năm 2020,numeric__Tài sản của bộ phận > Nguyên giá TSCĐ HH,numeric__Tài sản của bộ phận > Hao mòn lũy kế,numeric__Tài sản của bộ phận > Nợ phải thu,numeric__Tài sản của bộ phận > Tổng tài sản,numeric__Tài sản của bộ phận > Nợ phải trả,numeric__Khấu hao TSCĐ Năm 2020
Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,3.184.842.111.835,(1.673.482.459.564),133.617.330.854,2.025.590.143.028,62.230.411.821,161.604.778.211,3184842111835.0,-1673482459564.0,133617330854.0,2025590143028.0,62230411821.0,161604778211.0
Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,2.004.795.576.153,(1.542.142.419.349),52.226.412.899,1.005.033.987.347,178.535.932.835,153.630.734.541,2004795576153.0,-1542142419349.0,52226412899.0,1005033987347.0,178535932835.0,153630734541.0
Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,2.696.815.631,(2.696.815.631),168.952.089.874,1.008.035.387.655,39.670.519.197,-,2696815631.0,-2696815631.0,168952089874.0,1008035387655.0,39670519197.0,
Hoạt động SXKD khác,Hoạt động SXKD khác,Hoạt động SXKD khác,3.039.555.814.306,(1.223.055.908.168),78.316.087.342,6.915.332.333.094,2.432.929.319.839,150.451.823.846,3039555814306.0,-1223055908168.0,78316087342.0,6915332333094.0,2432929319839.0,150451823846.0
,,,8.231.890.317.925,(4.441.377.602.712),433.111.920.969,10.953.991.851.124,2.713.366.183.692,465.687.336.598,8231890317925.0,-4441377602712.0,433111920969.0,10953991851124.0,2713366183692.0,465687336598.0
Các khoản loại trừ,Các khoản loại trừ,Các khoản loại trừ,-,-,(168.401.740.951),(1.803.660.901.829),(168.401.740.951),-,,,-168401740951.0,-1803660901829.0,-168401740951.0,
Tổng cộng,Tổng cộng,Tổng cộng,8.231.890.317.925,(4.441.377.602.712),264.710.180.018,9.150.330.949.295,2.544.964.442.741,465.687.336.598,8231890317925.0,-4441377602712.0,264710180018.0,9150330949295.0,2544964442741.0,465687336598.0
,,,-,-,-,-,-,,,,,,,
,,,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Khấu hao TSCĐ Năm 2019,,,,,,
01/01/2020,01/01/2020,01/01/2020,Nguyên giá TSCĐ HH,Hao mòn lũy kế,Nợ phải thu,Tổng tài sản,Nợ phải trả,Khấu hao TSCĐ Năm 2019,,,,,,
Hoạt động SXKD sản phẩm Đường,01/01/2020 > Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,3.265.845.432.900,(1.595.697.668.461),158.134.158.402,2.026.804.433.053,48.223.384.713,169.064.188.553,3265845432900.0,-1595697668461.0,158134158402.0,2026804433053.0,48223384713.0,169064188553.0
Hoạt động SXKD sản phẩm Sữa đậu nành,01/01/2020 > Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,1.952.348.685.607,(1.408.421.948.069),46.410.536.014,1.090.798.511.641,203.743.738.198,154.544.994.221,1952348685607.0,-1408421948069.0,46410536014.0,1090798511641.0,203743738198.0,154544994221.0
Công ty TNHH MTV Thương mại Thành Phát,01/01/2020 > Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,2.848.320.176,(2.848.320.176),30.080.273.118,869.080.394.924,16.660.404.429,,2848320176.0,-2848320176.0,30080273118.0,869080394924.0,16660404429.0,
Hoạt động SXKD khác,01/01/2020 > Hoạt động SXKD khác,Hoạt động SXKD khác,3.004.302.605.678,(1.084.250.608.785),76.253.214.426,6.725.232.600.442,2.338.720.498.565,149.789.065.367,3004302605678.0,-1084250608785.0,76253214426.0,6725232600442.0,2338720498565.0,149789065367.0
,,,8.225.345.044.361,(4.091.218.545.491),310.878.181.960,10.711.915.940.060,2.607.348.025.905,473.398.248.141,8225345044361.0,-4091218545491.0,310878181960.0,10711915940060.0,2607348025905.0,473398248141.0
Các khoản loại trừ,01/01/2020 > Các khoản loại trừ,Các khoản loại trừ,-,-,(29.567.965.872),(1.664.113.513.619),(29.567.965.872),-,,,-29567965872.0,-1664113513619.0,-29567965872.0,
Tổng cộng,01/01/2020 > Tổng cộng,Tổng cộng,8.225.345.044.361,(4.091.218.545.491),281.310.216.088,9.047.802.426.441,2.577.780.060.033,473.398.248.141,8225345044361.0,-4091218545491.0,281310216088.0,9047802426441.0,2577780060033.0,473398248141.0
