row_label_raw,row_label_full,31/12/2020,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,422.044.973.893,-,422.044.973.893,422044973893.0,,422044973893.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,2.639.000.000.000,-,2.639.000.000.000,2639000000000.0,,2639000000000.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,76.582.828.093,-,76.582.828.093,76582828093.0,,76582828093.0
Phải thu khác,Phải thu khác,Phải thu khác,30.796.359.437,412.183.710,31.208.543.147,30796359437.0,412183710.0,31208543147.0
Cộng,Cộng,Cộng,3.168.424.161.423,412.183.710,3.168.836.345.133,3168424161423.0,412183710.0,3168836345133.0
01/01/2020,01/01/2020,01/01/2020,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2020 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,215.083.518.132,-,215.083.518.132,215083518132.0,,215083518132.0
Đầu tư nắm giữ đến ngày đáo hạn,01/01/2020 > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,2.660.000.000.000,-,2.660.000.000.000,2660000000000.0,,2660000000000.0
Phải thu khách hàng,01/01/2020 > Phải thu khách hàng,Phải thu khách hàng,58.788.405.276,-,58.788.405.276,58788405276.0,,58788405276.0
Phải thu khác,01/01/2020 > Phải thu khác,Phải thu khác,33.013.801.544,690.181.497,33.703.983.041,33013801544.0,690181497.0,33703983041.0
Cộng,01/01/2020 > Cộng,Cộng,2.966.885.724.952,690.181.497,2.967.575.906.449,2966885724952.0,690181497.0,2967575906449.0
