row_label_raw,row_label_full,Báo cáo bộ phậntheo hoạt động kinh doanh,Sản phẩm đường,Sản phẩm đường_1,Sản phẩm Sửa đậu nành,Sản phẩm Sửa đậu nành_1,Thành Phát,Thành Phát_1,Khác,Khác_1,Loại trừ,Loại trừ_1,Tổng cộng,Tổng cộng_1,numeric__Sản phẩm đường,numeric__Sản phẩm đường_1,numeric__Sản phẩm Sửa đậu nành,numeric__Sản phẩm Sửa đậu nành_1,numeric__Thành Phát,numeric__Thành Phát_1,numeric__Khác,numeric__Khác_1,numeric__Loại trừ,numeric__Loại trừ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
Báo cáo bộ phậntheo hoạt động kinh doanh,Báo cáo bộ phậntheo hoạt động kinh doanh,Báo cáo bộ phậntheo hoạt động kinh doanh,Năm 2020,Năm 2019,Năm 2020,Năm 2019,Năm 2020,Năm 2019,Năm 2020,Năm 2019,Năm 2020,Năm 2019,Năm 2020,Năm 2019,,,,,,,,,,,,
Doanh thu bộ phân,Báo cáo bộ phậntheo hoạt động kinh doanh > Doanh thu bộ phân,Doanh thu bộ phân,994.063.195.612,1.486.045.747.981,3.875.088.825.443,4.265.761.889.133,1.053.068.503.580,1.710.568.592.806,1.344.337.442.517,1.611.592.646.902,(776.794.140.355),(1.393.079.624.099),6.489.763.826.797,7.680.889.252.723,994063195612.0,1486045747981.0,3875088825443.0,4265761889133.0,1053068503580.0,1710568592806.0,1344337442517.0,1611592646902.0,-776794140355.0,-1393079624099.0,6489763826797.0,7680889252723.0
Giá vốn bộ phân,Báo cáo bộ phậntheo hoạt động kinh doanh > Giá vốn bộ phân,Giá vốn bộ phân,962.413.550.817,1.331.458.940.088,2.165.651.739.568,2.351.594.195.662,1.014.367.381.711,1.659.771.471.617,1.065.597.214.674,1.265.549.845.695,(769.745.695.590),(1.383.887.642.758),4.438.284.191.180,5.224.486.810.304,962413550817.0,1331458940088.0,2165651739568.0,2351594195662.0,1014367381711.0,1659771471617.0,1065597214674.0,1265549845695.0,-769745695590.0,-1383887642758.0,4438284191180.0,5224486810304.0
Lợi nhuận gộp,Báo cáo bộ phậntheo hoạt động kinh doanh > Lợi nhuận gộp,Lợi nhuận gộp,31.649.644.795,154.586.807.893,1.709.437.085.875,1.914.167.693.471,38.701.121.869,50.797.121.189,278.740.227.843,346.042.801.207,(7.048.444.765),(9.191.981.341),2.051.479.635.617,2.456.402.442.419,31649644795.0,154586807893.0,1709437085875.0,1914167693471.0,38701121869.0,50797121189.0,278740227843.0,346042801207.0,-7048444765.0,-9191981341.0,2051479635617.0,2456402442419.0
Doanh thu hoạt động tài chính,Báo cáo bộ phậntheo hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,,,,142.064.834.469,138.023.568.910,,,,,,,,,,,142064834469.0,138023568910.0
Chi phí tài chính,Báo cáo bộ phậntheo hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,,,,,,,71.847.485.893,77.362.094.057,,,,,,,,,,,71847485893.0,77362094057.0
Chi phí bán hàng,Báo cáo bộ phậntheo hoạt động kinh doanh > Chi phí bán hàng,Chi phí bán hàng,,,,,,,,,,,654.113.883.340,785.326.185.604,,,,,,,,,,,654113883340.0,785326185604.0
Chi phí quản lý doanh nghiệp,Báo cáo bộ phậntheo hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,,,,,234.335.496.961,214.246.805.827,,,,,,,,,,,234335496961.0,214246805827.0
Lợi nhuận thuần từ hoạt động kinh doanh,Báo cáo bộ phậntheo hoạt động kinh doanh > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,,,,,,1.233.247.603.892,1.517.490.925.841,,,,,,,,,,,1233247603892.0,1517490925841.0
Thu nhập khác,Báo cáo bộ phậntheo hoạt động kinh doanh > Thu nhập khác,Thu nhập khác,,,,,,,,,,,38.029.869.172,32.973.976.754,,,,,,,,,,,38029869172.0,32973976754.0
Chi phí khác,Báo cáo bộ phậntheo hoạt động kinh doanh > Chi phí khác,Chi phí khác,,,,,,,,,,,4.843.664.119,7.288.897.373,,,,,,,,,,,4843664119.0,7288897373.0
Lợi nhuận khác,Báo cáo bộ phậntheo hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,,,,,,,33.186.205.053,25.685.079.381,,,,,,,,,,,33186205053.0,25685079381.0
Lợi nhuận trước thuế,Báo cáo bộ phậntheo hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,,,,,1.266.433.808.945,1.543.176.005.222,,,,,,,,,,,1266433808945.0,1543176005222.0
Thuế TNDN,Báo cáo bộ phậntheo hoạt động kinh doanh > Thuế TNDN,Thuế TNDN,,,,,,,,,,,213.455.852.788,251.399.404.156,,,,,,,,,,,213455852788.0,251399404156.0
Lợi nhuận sau thuế TNDN,Báo cáo bộ phậntheo hoạt động kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,,,,,1.052.977.956.157,1.291.776.601.066,,,,,,,,,,,1052977956157.0,1291776601066.0
