row_label_raw,row_label_full,col_0,Số đầu năm,Số đầu năm_1,Số phát sinh trong năm,Số phát sinh trong năm_1,Số cuối năm,Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số phát sinh trong năm,numeric__Số phát sinh trong năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1
,,,Phải thu,Phải nộp,Phải nộp,Thực nộp,Phải thu,Phải nộp,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,9.132.267.287,302.712.576.383,299.643.544.096,-,12.201.299.574,,9132267287.0,302712576383.0,299643544096.0,,12201299574.0
Thuế giá trị gia tăng NK,Thuế giá trị gia tăng NK,Thuế giá trị gia tăng NK,-,-,20.811.997.703,20.811.997.703,-,-,,,20811997703.0,20811997703.0,,
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,22.874.366.234,244.924.432.798,250.723.959.190,-,17.074.839.842,,22874366234.0,244924432798.0,250723959190.0,,17074839842.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,-,12.500.967.190,12.500.967.190,-,-,,,12500967190.0,12500967190.0,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,108.618.717.448,213.634.256.071,225.912.389.433,-,96.340.584.086,,108618717448.0,213634256071.0,225912389433.0,,96340584086.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.560.291,70.355.657,47.158.054.122,47.155.932.896,-,68.916.592,3560291.0,70355657.0,47158054122.0,47155932896.0,,68916592.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,166.352.003,2.268.285.702,2.283.787.007,-,150.850.698,,166352003.0,2268285702.0,2283787007.0,,150850698.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,-,2.629.868.457,2.629.868.457,-,-,,,2629868457.0,2629868457.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,25.785.512,16.292.345,2.456.888.300,2.408.760.518,25.785.512,64.420.127,25785512.0,16292345.0,2456888300.0,2408760518.0,25785512.0,64420127.0
Phí và lệ phí,Phí và lệ phí,Phí và lệ phí,-,11.552.998,161.591.252,163.145.750,-,9.998.500,,11552998.0,161591252.0,163145750.0,,9998500.0
Cộng,Cộng,Cộng,29.345.803,140.889.903.972,849.258.917.978,864.234.352.240,25.785.512,125.910.909.419,29345803.0,140889903972.0,849258917978.0,864234352240.0,25785512.0,125910909419.0
