row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2020 VND,Năm 2019 VND,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2020 VND,numeric__Năm 2019 VND
I.,I.,I.,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,,1.266.433.808.945,1.543.176.005.222,,1.0,,1266433808945.0,1543176005222.0
2.,2.,2.,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,
-,2. > -,-,Khấu hao Tài sản cố định và phân bổ tiền thuê đất,02,"12,13,14",471.190.942.898,478.710.434.157,,2.0,,471190942898.0,478710434157.0
-,2. > -,-,Các khoản dự phòng,03,,1.922.099.561,722.208.328,,3.0,,1922099561.0,722208328.0
-,2. > -,-,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ",04,,554.883.420,(153.874.209),,4.0,,554883420.0,-153874209.0
-,2. > -,-,"Lãi, lỗ từ hoạt động đầu tư",05,,(119.400.802.553),(105.059.929.097),,5.0,,-119400802553.0,-105059929097.0
-,2. > -,-,Chi phí lãi vay,06,30,71.041.570.755,76.961.987.689,,6.0,30.0,71041570755.0,76961987689.0
-,2. > -,-,Các khoản điều chỉnh khác,07,,10.000.000.000,-,,7.0,,10000000000.0,
3.,2. > 3.,3.,Lợi nhuận từ HĐKD trước thay đổi vốn lưu động,08,,1.701.742.503.026,1.994.356.832.090,,8.0,,1701742503026.0,1994356832090.0
-,2. > -,-,"Tăng, giảm các khoản phải thu",09,,(34.110.534.430),26.345.003.587,,9.0,,-34110534430.0,26345003587.0
-,2. > -,-,"Tăng, giảm hàng tồn kho",10,,(183.111.646.148),(75.502.373.146),,10.0,,-183111646148.0,-75502373146.0
-,2. > -,-,"Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,(52.190.060.256),28.329.791.238,,11.0,,-52190060256.0,28329791238.0
-,2. > -,-,"Tăng, giảm chi phí trả trước",12,,(8.598.037.516),(17.217.365.321),,12.0,,-8598037516.0,-17217365321.0
-,2. > -,-,Tiền lãi vay đã trả,14,,(71.529.594.551),(77.010.710.017),,14.0,,-71529594551.0,-77010710017.0
-,2. > -,-,Thuế thu nhập doanh nghiệp đã nộp,15,18,(225.912.389.433),(221.061.200.778),,15.0,18.0,-225912389433.0,-221061200778.0
-,2. > -,-,Tiền thu khác từ hoạt động kinh doanh,16,,-,500.000.000,,16.0,,,500000000.0
-,2. > -,-,Tiền chi khác từ hoạt động kinh doanh,17,,(18.005.781.949),(13.811.047.220),,17.0,,-18005781949.0,-13811047220.0
-,2. > -,-,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,1.108.284.458.743,1.644.928.930.433,,20.0,,1108284458743.0,1644928930433.0
II.,II.,II.,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1.,II. > 1.,1.,Tiền chỉ đề mua sắm XD TSCĐ và các TS DH khác,21,,(198.582.596.557),(646.105.857.883),,21.0,,-198582596557.0,-646105857883.0
2.,II. > 2.,2.,"Tiền thu từ TLý, nhượng bán TSCĐ và các TS DH khác",22,,5.349.015.001,1.411.979.091,,22.0,,5349015001.0,1411979091.0
3.,II. > 3.,3.,"Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác",23,,(1.661.000.000.000),(2.197.000.000.000),,23.0,,-1661000000000.0,-2197000000000.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các CC nợ của đơn vị khác",24,,1.682.000.000.000,1.236.000.000.000,,24.0,,1682000000000.0,1236000000000.0
5.,II. > 5.,5.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,116.294.590.292,93.262.053.582,,27.0,,116294590292.0,93262053582.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(55.938.991.264),(1.512.431.825.210),,30.0,,-55938991264.0,-1512431825210.0
III.,III.,III.,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,,,,,
1.,III. > 1.,1.,"Tiền thu từ PH cổ phiếu, nhận vốn góp của CSH",31,,-,123.694.501.324,,31.0,,,123694501324.0
2.,III. > 2.,2.,Tiền thu từ đi vay,33,21,4.700.769.619.517,5.094.579.021.981,,33.0,21.0,4700769619517.0,5094579021981.0
3.,III. > 3.,3.,Tiền trả nợ gốc vay,34,21,(4.642.491.961.212),(5.157.031.076.354),,34.0,21.0,-4642491961212.0,-5157031076354.0
4.,III. > 4.,4.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,(903.547.488.925),(397.055.244.600),,36.0,,-903547488925.0,-397055244600.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(845.269.830.620),(335.812.797.649),,40.0,,-845269830620.0,-335812797649.0
,,,Lưu chuyển tiền thuần trong kỳ,50,,207.075.636.859,(203.315.692.426),,50.0,,207075636859.0,-203315692426.0
,,,Tiền và tương đương tiền đầu kỳ,60,,215.083.518.132,418.383.925.994,,60.0,,215083518132.0,418383925994.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,(114.181.098),15.284.564,,61.0,,-114181098.0,15284564.0
,,,Tiền và tương đương tiền cuối kỳ,70,,422.044.973.893,215.083.518.132,,70.0,,422044973893.0,215083518132.0
