row_label_raw,row_label_full,31/12/2020,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,382.734.453.855,-,382.734.453.855,382734453855.0,,382734453855.0
Chỉ phí phải trả,Chỉ phí phải trả,Chỉ phí phải trả,3.045.149.728,-,3.045.149.728,3045149728.0,,3045149728.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.723.009.678.809,-,1.723.009.678.809,1723009678809.0,,1723009678809.0
Phải trả khác,Phải trả khác,Phải trả khác,20.524.054.019,20.464.176.088,40.988.230.107,20524054019.0,20464176088.0,40988230107.0
Cộng,Cộng,Cộng,2.129.313.336.411,20.464.176.088,2.149.777.512.499,2129313336411.0,20464176088.0,2149777512499.0
01/01/2020,01/01/2020,01/01/2020,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2020 > Phải trả người bán,Phải trả người bán,488.242.209.532,-,488.242.209.532,488242209532.0,,488242209532.0
Chỉ phí phải trả,01/01/2020 > Chỉ phí phải trả,Chỉ phí phải trả,6.583.411.474,-,6.583.411.474,6583411474.0,,6583411474.0
Vay và nợ thuê tài chính,01/01/2020 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.664.732.020.504,-,1.664.732.020.504,1664732020504.0,,1664732020504.0
Phải trả khác,01/01/2020 > Phải trả khác,Phải trả khác,18.430.494.207,19.307.101.887,37.737.596.094,18430494207.0,19307101887.0,37737596094.0
Cộng,01/01/2020 > Cộng,Cộng,2.177.988.135.717,19.307.101.887,2.197.295.237.604,2177988135717.0,19307101887.0,2197295237604.0
