row_label_raw,row_label_full,col_0,Xây lắp,Sản xuất công nghiệp,Chuyển nhượng Bất động sản,Năng lượng,Hoạt động bán hàng,Các hoạt động khác,Tổng cộng toàn doanh nghiệp,numeric__Xây lắp,numeric__Sản xuất công nghiệp,numeric__Chuyển nhượng Bất động sản,numeric__Năng lượng,numeric__Hoạt động bán hàng,numeric__Các hoạt động khác,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,3.000.245.215.906,981.324.521.368,212.884.838.923,552.029.783.176,997.694.209.760,100.844.263.781,5.845.022.832.914,3000245215906.0,981324521368.0,212884838923.0,552029783176.0,997694209760.0,100844263781.0,5845022832914.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,2.736.077.775.895,894.335.453.059,138.304.474.754,206.294.349.980,968.051.054.613,83.254.616.943,5.026.317.725.244,2736077775895.0,894335453059.0,138304474754.0,206294349980.0,968051054613.0,83254616943.0,5026317725244.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,264.167.440.011,86.989.068.309,74.580.364.169,345.735.433.196,29.643.155.147,17.589.646.838,818.705.107.670,264167440011.0,86989068309.0,74580364169.0,345735433196.0,29643155147.0,17589646838.0,818705107670.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,"8,8%","8,9%","35,0%","62,6%","3,0%","17,4%","14,0%",0.08800000000000001,0.08900000000000001,0.35,0.626,0.03,0.174,0.14
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,15.225.013.010,7.578.560.900,-,739.188.209.768,-,5.994.065.421,767.985.849.099,15225013010.0,7578560900.0,,739188209768.0,,5994065421.0,767985849099.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,1.580.172.503.875,776.710.178.238,887.355.582.941,3.775.036.303.652,52.643.316.363,35.487.791.462,7.107.405.676.531,1580172503875.0,776710178238.0,887355582941.0,3775036303652.0,52643316363.0,35487791462.0,7107405676531.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,-,-,-,1.207.872.337.430,,,,,,,1207872337430.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,1.580.172.503.875,776.710.178.238,887.355.582.941,3.775.036.303.652,52.643.316.363,35.487.791.462,8.315.278.013.961,1580172503875.0,776710178238.0,887355582941.0,3775036303652.0,52643316363.0,35487791462.0,8315278013961.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,890.312.758.752,304.345.400.578,435.820.756.203,2.244.924.899.030,18.701.223.200,20.698.305.048,3.914.803.342.811,890312758752.0,304345400578.0,435820756203.0,2244924899030.0,18701223200.0,20698305048.0,3914803342811.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,-,-,-,705.694.008.733,,,,,,,705694008733.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,890.312.758.752,304.345.400.578,435.820.756.203,2.244.924.899.030,18.701.223.200,20.698.305.048,4.620.497.351.544,890312758752.0,304345400578.0,435820756203.0,2244924899030.0,18701223200.0,20698305048.0,4620497351544.0
