row_label_raw,row_label_full,col_0,Chung cư Nàng Hương,Chung cư Mỹ Đình plaza,Chung cư PCC1 Hà Đông Complex,Chung cư Mỹ Đình plaza 2,Cộng,numeric__Chung cư Nàng Hương,numeric__Chung cư Mỹ Đình plaza,numeric__Chung cư PCC1 Hà Đông Complex,numeric__Chung cư Mỹ Đình plaza 2,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.076.525.175,85.271.905.313,24.269.520.970,75.008.271.670,195.626.223.128,11076525175.0,85271905313.0,24269520970.0,75008271670.0,195626223128.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,-,5.205.921.561,-,788.143.860,5.994.065.421,,5205921561.0,,788143860.0,5994065421.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.076.525.175,90.477.826.874,24.269.520.970,75.796.415.530,201.620.288.549,11076525175.0,90477826874.0,24269520970.0,75796415530.0,201620288549.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.303.062.461,17.723.746.955,2.430.941.599,1.500.165.433,24.957.916.448,3303062461.0,17723746955.0,2430941599.0,1500165433.0,24957916448.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,398.779.182,4.210.957.855,970.780.835,3.031.856.622,8.612.374.494,398779182.0,4210957855.0,970780835.0,3031856622.0,8612374494.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.701.841.643,21.934.704.810,3.401.722.434,4.532.022.055,33.570.290.942,3701841643.0,21934704810.0,3401722434.0,4532022055.0,33570290942.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,7.773.462.714,67.548.158.358,21.838.579.371,73.508.106.237,170.668.306.680,7773462714.0,67548158358.0,21838579371.0,73508106237.0,170668306680.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,7.374.683.532,68.543.122.064,20.867.798.536,71.264.393.475,168.049.997.607,7374683532.0,68543122064.0,20867798536.0,71264393475.0,168049997607.0
