row_label_raw,row_label_full,Tại ngày 31/12/2019,Từ 1 nămtró xuốngVND > Tại ngày 31/12/2019,Trên 1 nămđến 5 nămVND > Tại ngày 31/12/2019,Trên 5 nămVND > Tại ngày 31/12/2019,CộngVND > Tại ngày 31/12/2019,numeric__Từ 1 nămtró xuốngVND > Tại ngày 31/12/2019,numeric__Trên 1 nămđến 5 nămVND > Tại ngày 31/12/2019,numeric__Trên 5 nămVND > Tại ngày 31/12/2019,numeric__CộngVND > Tại ngày 31/12/2019
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,567.652.456.496,-,-,567.652.456.496,567652456496.0,,,567652456496.0
"Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.431.054.406.548,8.295.573.500,-,1.439.349.980.048,1431054406548.0,8295573500.0,,1439349980048.0
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,182.000.000.000,-,-,182.000.000.000,182000000000.0,,,182000000000.0
,,,2.180.706.863.044,8.295.573.500,-,2.189.002.436.544,2180706863044.0,8295573500.0,,2189002436544.0
Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2019 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,701.280.173.355,-,-,701.280.173.355,701280173355.0,,,701280173355.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2019 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.150.499.748.908,8.295.573.500,-,1.158.795.322.408,1150499748908.0,8295573500.0,,1158795322408.0
Các khoản cho vay,Tại ngày 01/01/2019 > Các khoản cho vay,Các khoản cho vay,91.655.000.000,-,-,91.655.000.000,91655000000.0,,,91655000000.0
,,,1.943.434.922.263,8.295.573.500,-,1.951.730.495.763,1943434922263.0,8295573500.0,,1951730495763.0
