row_label_raw,row_label_full,Tên lô đất/Địa điểm lô đất,Diện tích thuê,Thời gian thuê,Mục đích thuê,Ghi chú,numeric__Diện tích thuê,numeric__Thời gian thuê,numeric__Mục đích thuê,numeric__Ghi chú
Khu đất tại số 18 Lý Văn Phúc - P.Cát Linh - Q.Đống Đa- Hà Nội,Khu đất tại số 18 Lý Văn Phúc - P.Cát Linh - Q.Đống Đa- Hà Nội,Khu đất tại số 18 Lý Văn Phúc - P.Cát Linh - Q.Đống Đa- Hà Nội,\( 510 \text{ m}^{2} \),50 năm,Trụ sở làm việc,Đơn giá ổn định 5 năm/l lần,,,,
Khu đất tại xã Yên Thường- Huyện Gia Lâm - Hà Nội,Khu đất tại xã Yên Thường- Huyện Gia Lâm - Hà Nội,Khu đất tại xã Yên Thường- Huyện Gia Lâm - Hà Nội,\( 9.629 \text{ m}^{2} \),Hàng năm,Trụ sở làm việc,Trả tiền thuê đất hàng năm,,,,
Khu đất phường Phương Canh- Q. Nam Từ Liêm- Hà Nội,Khu đất phường Phương Canh- Q. Nam Từ Liêm- Hà Nội,Khu đất phường Phương Canh- Q. Nam Từ Liêm- Hà Nội,\( 6.475 \text{ m}^{2} \),50 năm,Trụ sở làm việc,Đơn giá ổn định 5 năm/l lần,,,,
Khu đất phường Đông Ngọc- Q.Bắc Từ Liêm- Hà Nội,Khu đất phường Đông Ngọc- Q.Bắc Từ Liêm- Hà Nội,Khu đất phường Đông Ngọc- Q.Bắc Từ Liêm- Hà Nội,\( 2.903 \text{ m}^{2} \),25 năm,Trụ sở làm việc,Đơn giá ổn định 5 năm/l lần,,,,
Khu đất phường Mỹ Đình 2- Q. Nam Từ Liêm- Hà Nội,Khu đất phường Mỹ Đình 2- Q. Nam Từ Liêm- Hà Nội,Khu đất phường Mỹ Đình 2- Q. Nam Từ Liêm- Hà Nội,\( 3.334 \text{ m}^{2} \),50 năm,"Bãi đồ xe, công trình công cộng",Đơn giá ổn định 5 năm/l lần,,,,
Khu đất phường Phú Lâm- Q. Hà Đông- Hà Nội,Khu đất phường Phú Lâm- Q. Hà Đông- Hà Nội,Khu đất phường Phú Lâm- Q. Hà Đông- Hà Nội,"\( 812,5 \text{ m}^{2} \)",25 năm,Trụ sở làm việc,Đơn giá ổn định 5 năm/l lần,,,,
Khu đất tại xã Mai Sơn- Yên Mô- Ninh Bình,Khu đất tại xã Mai Sơn- Yên Mô- Ninh Bình,Khu đất tại xã Mai Sơn- Yên Mô- Ninh Bình,\( 29.372 \text{ m}^{2} \),33 năm,Trụ sở làm việc,Đơn giá ổn định 5 năm/l lần,,,,
Khu đất tại phường Tân Thanh- TP Ninh Bình,Khu đất tại phường Tân Thanh- TP Ninh Bình,Khu đất tại phường Tân Thanh- TP Ninh Bình,\( 2.887 \text{ m}^{2} \),Hàng năm,Trụ sở làm việc,Trả tiền thuê đất hàng năm,,,,
Khu đất tại đường Nguyễn Tam Trinh- Q. Hoàng Mai- Hà Nội,Khu đất tại đường Nguyễn Tam Trinh- Q. Hoàng Mai- Hà Nội,Khu đất tại đường Nguyễn Tam Trinh- Q. Hoàng Mai- Hà Nội,\( 961 \text{ m}^{2} \),Hàng năm,Trụ sở làm việc,Trả tiền thuê đất hàng năm,,,,
Khu đất tại xã Đại Mỗ- Q. Nam Từ Liêm- Hà Nội,Khu đất tại xã Đại Mỗ- Q. Nam Từ Liêm- Hà Nội,Khu đất tại xã Đại Mỗ- Q. Nam Từ Liêm- Hà Nội,\( 3.192 \text{ m}^{2} \),Lâu dài,Trụ sở làm việc,Đơn giá ổn định 5 năm/l lần,,,,
