row_label_raw,row_label_full,col_0,Số phải thu đầu năm,Số phải nộp đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Điều chính khác (*),Số phải thu cuối năm,Số phải nộp cuối năm,numeric__Số phải thu đầu năm,numeric__Số phải nộp đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Điều chính khác (*),numeric__Số phải thu cuối năm,numeric__Số phải nộp cuối năm
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,-,20.129.306.415,167.865.930.093,182.227.424.772,-,-,5.767.811.736,,20129306415.0,167865930093.0,182227424772.0,,,5767811736.0
"Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu",-,-,487.687.582,487.687.582,-,-,-,,,487687582.0,487687582.0,,,
Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,-,58.243.858.520,53.316.748.687,77.448.968.854,116.095.948,152.807.326,34.380.541.627,,58243858520.0,53316748687.0,77448968854.0,116095948.0,152807326.0,34380541627.0
Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,1.132.761,803.737.586,6.231.835.136,6.199.132.811,-,-,835.307.150,1132761.0,803737586.0,6231835136.0,6199132811.0,,,835307150.0
Thuế Tài nguyên,Thuế Tài nguyên,Thuế Tài nguyên,-,2.183.855.258,37.403.480.633,38.488.086.248,-,-,1.099.249.643,,2183855258.0,37403480633.0,38488086248.0,,,1099249643.0
"Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất",-,-,103.484.577.119,103.790.051.695,-,305.474.576,-,,,103484577119.0,103790051695.0,,305474576.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,-,53.000.000,53.000.000,-,-,-,,,53000000.0,53000000.0,,,
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,2.296.822.068,17.638.763.848,18.108.753.744,-,-,1.826.832.172,,2296822068.0,17638763848.0,18108753744.0,,,1826832172.0
,,,1.132.761,83.657.579.847,386.482.023.098,426.803.105.706,116.095.948,458.281.902,43.909.742.328,1132761.0,83657579847.0,386482023098.0,426803105706.0,116095948.0,458281902.0,43909742328.0
