row_label_raw,row_label_full,Diễn giải,Giá trị ghi số tại thời điểm đạt được quyền kiểm soát,Giá trị hợp lý tại thời điểm đạt được quyền kiểm soát,numeric__Giá trị ghi số tại thời điểm đạt được quyền kiểm soát,numeric__Giá trị hợp lý tại thời điểm đạt được quyền kiểm soát
,,,VND,VND,,
Tài sản,Tài sản,Tài sản,,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,22.826.679,22.826.679,22826679.0,22826679.0
Các khoản phải thu,Tài sản > Các khoản phải thu,Các khoản phải thu,45.400.000.000,45.400.000.000,45400000000.0,45400000000.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,384.994.186,384.994.186,384994186.0,384994186.0
Xây dựng cơ bản dở dang,Tài sản > Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,4.187.800.385,4.187.800.385,4187800385.0,4187800385.0
Cộng tài sản,Tài sản > Cộng tài sản,Cộng tài sản,49.995.621.250,49.995.621.250,49995621250.0,49995621250.0
Tổng giá trị tài sản thuần,Tài sản > Tổng giá trị tài sản thuần,Tổng giá trị tài sản thuần,49.995.621.250,49.995.621.250,49995621250.0,49995621250.0
Lợi ích của cổ đông không kiểm soát,Tài sản > Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,49.995.621,49.995.621,49995621.0,49995621.0
"Tổng giá trị tài sản thuần tương ứng với lợi ích của Công ty mẹ (99,9%)","Tài sản > Tổng giá trị tài sản thuần tương ứng với lợi ích của Công ty mẹ (99,9%)","Tổng giá trị tài sản thuần tương ứng với lợi ích của Công ty mẹ (99,9%)",49.945.625.629,49.945.625.629,49945625629.0,49945625629.0
Tổng giá phí của khoản đầu tư này,Tài sản > Tổng giá phí của khoản đầu tư này,Tổng giá phí của khoản đầu tư này,,195.194.265.000,,195194265000.0
Lợi thể thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh số 16),Tài sản > Lợi thể thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh số 16),Lợi thể thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh số 16),,145.248.639.371,,145248639371.0
4. TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀN,4. TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀN,4. TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀN,4. TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀN,4. TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀN,,
,,,31/12/2019,01/01/2019,,
,,,VND,VND,,
- Tiền mặt,4. TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀN > - Tiền mặt,- Tiền mặt,17.012.259.121,13.296.066.142,17012259121.0,13296066142.0
- Tiền gửi ngân hàng không kỳ hạn,4. TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀN > - Tiền gửi ngân hàng không kỳ hạn,- Tiền gửi ngân hàng không kỳ hạn,116.866.250.626,124.257.392.835,116866250626.0,124257392835.0
- Các khoản tương đương tiền (*),4. TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀN > - Các khoản tương đương tiền (*),- Các khoản tương đương tiền (*),433.773.946.749,563.726.714.378,433773946749.0,563726714378.0
,,,567.652.456.496,701.280.173.355,567652456496.0,701280173355.0
