row_label_raw,row_label_full,Tại ngày 31/12/2019,Từ 1 nămtrở xuốngVND > Tại ngày 31/12/2019,Trên 1 nămđến 5 nămVND > Tại ngày 31/12/2019,Trên 5 nămVND > Tại ngày 31/12/2019,CộngVND > Tại ngày 31/12/2019,numeric__Từ 1 nămtrở xuốngVND > Tại ngày 31/12/2019,numeric__Trên 1 nămđến 5 nămVND > Tại ngày 31/12/2019,numeric__Trên 5 nămVND > Tại ngày 31/12/2019,numeric__CộngVND > Tại ngày 31/12/2019
Vay và nợ,Vay và nợ,Vay và nợ,950.604.863.783,497.440.000.000,1.598.758.106.670,3.046.802.970.453,950604863783.0,497440000000.0,1598758106670.0,3046802970453.0
"Phải trả người bán, phải trảkhác","Phải trả người bán, phải trảkhác","Phải trả người bán, phải trảkhác",909.288.682.123,1.529.547.965,-,910.818.230.088,909288682123.0,1529547965.0,,910818230088.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,118.503.097.752,-,-,118.503.097.752,118503097752.0,,,118503097752.0
,,,1.978.396.643.658,498.969.547.965,1.598.758.106.670,4.076.124.298.293,1978396643658.0,498969547965.0,1598758106670.0,4076124298293.0
,,,Từ 1 nămtrở xuốngVND,Trên 1 nămđến 5 nămVND,Trên 5 nămVND,CộngVND,,,,
Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,,,,
Vay và nợ,Tại ngày 01/01/2019 > Vay và nợ,Vay và nợ,415.790.185.025,486.640.000.000,1.067.316.591.681,1.969.746.776.706,415790185025.0,486640000000.0,1067316591681.0,1969746776706.0
"Phải trả người bán, phải trảkhác","Tại ngày 01/01/2019 > Phải trả người bán, phải trảkhác","Phải trả người bán, phải trảkhác",813.618.303.804,1.048.203.506,-,814.666.507.310,813618303804.0,1048203506.0,,814666507310.0
Chi phí phải trả,Tại ngày 01/01/2019 > Chi phí phải trả,Chi phí phải trả,139.453.399.280,-,-,139.453.399.280,139453399280.0,,,139453399280.0
,,,1.368.861.888.109,487.688.203.506,1.067.316.591.681,2.923.866.683.296,1368861888109.0,487688203506.0,1067316591681.0,2923866683296.0
