row_label_raw,row_label_full,a) Tài sản thuế thu nhập hoãn lại,a) Tài sản thuế thu nhập hoãn lại_1,a) Tài sản thuế thu nhập hoãn lại_2,numeric__a) Tài sản thuế thu nhập hoãn lại_1,numeric__a) Tài sản thuế thu nhập hoãn lại_2
,,,31/12/2019,01/01/2019,,
,,,VND,VND,,
- Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bắt động sản,- Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bắt động sản,- Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bắt động sản,2.184.159.953,-,2184159953.0,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,2.184.159.953,-,2184159953.0,
b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,,
,,,31/12/2019,01/01/2019,,
,,,VND,VND,,
- Thuế thu nhập hoãn lại phải trả phát sinh từ việc hoàn nhập dự phòng đầu tư tài chính,b) Thuế thu nhập hoãn lại phải trả > - Thuế thu nhập hoãn lại phải trả phát sinh từ việc hoàn nhập dự phòng đầu tư tài chính,- Thuế thu nhập hoãn lại phải trả phát sinh từ việc hoàn nhập dự phòng đầu tư tài chính,20.248.513.657,13.557.522.068,20248513657.0,13557522068.0
"- Tài sản thuế TNDN hoãn lại tương ứng với lãi, lỗ chưa thực hiện","b) Thuế thu nhập hoãn lại phải trả > - Tài sản thuế TNDN hoãn lại tương ứng với lãi, lỗ chưa thực hiện","- Tài sản thuế TNDN hoãn lại tương ứng với lãi, lỗ chưa thực hiện",(3.353.489.095),(1.943.816.878),-3353489095.0,-1943816878.0
Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,16.895.024.562,11.613.705.190,16895024562.0,11613705190.0
c) Chi phí thuế TNDN hoãn lại,c) Chi phí thuế TNDN hoãn lại,c) Chi phí thuế TNDN hoãn lại,c) Chi phí thuế TNDN hoãn lại,c) Chi phí thuế TNDN hoãn lại,,
,,,Năm 2019,Năm 2018,,
,,,VND,VND,,
Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bắt động sản,c) Chi phí thuế TNDN hoãn lại > Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bắt động sản,Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bắt động sản,(2.184.159.953),2.308.100.000,-2184159953.0,2308100000.0
"Chi phí thuế TNDN hoãn lại tương ứng với lãi, lỗ chưa thực hiện","c) Chi phí thuế TNDN hoãn lại > Chi phí thuế TNDN hoãn lại tương ứng với lãi, lỗ chưa thực hiện","Chi phí thuế TNDN hoãn lại tương ứng với lãi, lỗ chưa thực hiện",(1.409.672.217),(1.943.816.878),-1409672217.0,-1943816878.0
Chi phí thuế TNDN hoãn lại phát sinh từ việc điều chỉnh dự phòng đầu tư tài chính,c) Chi phí thuế TNDN hoãn lại > Chi phí thuế TNDN hoãn lại phát sinh từ việc điều chỉnh dự phòng đầu tư tài chính,Chi phí thuế TNDN hoãn lại phát sinh từ việc điều chỉnh dự phòng đầu tư tài chính,6.690.991.589,(1.082.183.684),6690991589.0,-1082183684.0
,,,3.097.159.419,(717.900.562),3097159419.0,-717900562.0
