row_label_raw,row_label_full,col_0,01/01/2019 > Giá trị,01/01/2019 > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giám,31/12/2019 > Giá trị,31/12/2019 > Số có khả năng trả nợ,numeric__01/01/2019 > Giá trị,numeric__01/01/2019 > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giám,numeric__31/12/2019 > Giá trị,numeric__31/12/2019 > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,,,,,,
- Vay ngắn hạn,a) Vay ngắn hạn > - Vay ngắn hạn,- Vay ngắn hạn,370.706.266.653,370.706.266.653,3.552.340.855.512,3.092.977.758.382,830.069.363.783,830.069.363.783,370706266653.0,370706266653.0,3552340855512.0,3092977758382.0,830069363783.0,830069363783.0
- Vay và nợ dài hạn đến hạn trả,a) Vay ngắn hạn > - Vay và nợ dài hạn đến hạn trả,- Vay và nợ dài hạn đến hạn trả,45.083.918.372,45.083.918.372,146.417.132.636,70.965.551.008,120.535.500.000,120.535.500.000,45083918372.0,45083918372.0,146417132636.0,70965551008.0,120535500000.0,120535500000.0
,,,415.790.185.025,415.790.185.025,3.698.757.988.148,3.163.943.309.390,950.604.863.783,950.604.863.783,415790185025.0,415790185025.0,3698757988148.0,3163943309390.0,950604863783.0,950604863783.0
b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,,,,,,
- Vay dài hạn,b) Vay dài hạn > - Vay dài hạn,- Vay dài hạn,1.599.040.510.053,1.599.040.510.053,688.658.647.625,70.965.551.008,2.216.733.606.670,2.216.733.606.670,1599040510053.0,1599040510053.0,688658647625.0,70965551008.0,2216733606670.0,2216733606670.0
,,,1.599.040.510.053,1.599.040.510.053,688.658.647.625,70.965.551.008,2.216.733.606.670,2.216.733.606.670,1599040510053.0,1599040510053.0,688658647625.0,70965551008.0,2216733606670.0,2216733606670.0
Khoản đến hạn trả trong vòng 12 tháng,b) Vay dài hạn > Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,(45.083.918.372),(45.083.918.372),(146.417.132.636),(70.965.551.008),(120.535.500.000),(120.535.500.000),-45083918372.0,-45083918372.0,-146417132636.0,-70965551008.0,-120535500000.0,-120535500000.0
Khoản đến hạn trả sau 12 tháng,b) Vay dài hạn > Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,1.553.956.591.681,1.553.956.591.681,,,2.096.198.106.670,2.096.198.106.670,1553956591681.0,1553956591681.0,,,2096198106670.0,2096198106670.0
