row_label_raw,row_label_full,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo),THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_1,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_2,Mẫu số B 09 – DN,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_1,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_2,numeric__Mẫu số B 09 – DN
Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),,,
Bên liên quan,Bên liên quan,Bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,,,
Công ty Cổ Phần Năng lượng Điện Gió Tiền Giang,Bên liên quan > Công ty Cổ Phần Năng lượng Điện Gió Tiền Giang,Công ty Cổ Phần Năng lượng Điện Gió Tiền Giang,Góp vốn,97.400.000.000,-,,97400000000.0,
Công ty Cổ Phần Năng lượng Điện Gió Tiền Giang,Bên liên quan > Công ty Cổ Phần Năng lượng Điện Gió Tiền Giang,Công ty Cổ Phần Năng lượng Điện Gió Tiền Giang,Chi phí chi hộ,46.458.778,-,,46458778.0,
Công ty Cổ phần Năng lượng VPL,Bên liên quan > Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Góp vốn,19.999.900.000,-,,19999900000.0,
Công ty Cổ phần Năng lượng VPL,Bên liên quan > Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Doanh thu bán hàng và cung cấp dịch vụ,71.078.788,-,,71078788.0,
Công ty Cổ phần Năng lượng VPL,Bên liên quan > Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,Chi phí chi hộ,54.526.278,-,,54526278.0,
Công ty Cổ phần Điện gió la Bang,Bên liên quan > Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,Góp vốn,252.000.000.000,-,,252000000000.0,
Công ty Cổ phần Điện gió la Bang,Bên liên quan > Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,Doanh thu bán hàng và cung cấp dịch vụ,44.036.364,-,,44036364.0,
Công ty Cổ phần Điện gió la Bang,Bên liên quan > Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,Chi phí chi hộ,1.789.686.865,-,,1789686865.0,
Công ty Cổ phần Điện gió la Bang,Bên liên quan > Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,Cho vay,24.000.000.000,-,,24000000000.0,
Công ty Cổ phần Điện gió la Bang,Bên liên quan > Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,Thu hồi cho vay,24.000.000.000,-,,24000000000.0,
Công ty Cổ phần Điện gió la Bang,Bên liên quan > Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,Lãi cho vay,309.041.096,-,,309041096.0,
Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Bên liên quan > Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Góp vốn,15.000.000.000,-,,15000000000.0,
Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Bên liên quan > Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Doanh thu bán hàng và cung cấp dịch vụ,3.742.384.727,-,,3742384727.0,
Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Bên liên quan > Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Công ty Cổ phần Hợp tác Phát triểnNăng lượng tái tạo Vi - Ja,Chi phí chi hộ,20.604.606,-,,20604606.0,
