row_label_raw,row_label_full,Bên liên quan (Thuyết minh 30(b)),Tại ngàyđầu nămVND > Bên liên quan (Thuyết minh 30(b)),Chỉ cho vayVND > Bên liên quan (Thuyết minh 30(b)),Thu hồi nợ vayVND > Bên liên quan (Thuyết minh 30(b)),Tại ngàycuối nămVND > Bên liên quan (Thuyết minh 30(b)),numeric__Tại ngàyđầu nămVND > Bên liên quan (Thuyết minh 30(b)),numeric__Chỉ cho vayVND > Bên liên quan (Thuyết minh 30(b)),numeric__Thu hồi nợ vayVND > Bên liên quan (Thuyết minh 30(b)),numeric__Tại ngàycuối nămVND > Bên liên quan (Thuyết minh 30(b))
Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,56.000.000.000,-,(56.000.000.000),-,56000000000.0,,-56000000000.0,
Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,50.500.000.000,48.700.000.000,(99.200.000.000),-,50500000000.0,48700000000.0,-99200000000.0,
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,20.000.000.000,165.789.904.119,(116.589.506.280),69.200.397.839,20000000000.0,165789904119.0,-116589506280.0,69200397839.0
Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,2.900.000.000,-,(2.900.000.000),-,2900000000.0,,-2900000000.0,
Công ty TNHH Một Thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một Thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một Thành viên Tư vấn và Phát triển Năng lượng Gia Lai,800.000.000,-,(800.000.000),-,800000000.0,,-800000000.0,
Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,-,24.000.000.000,(24.000.000.000),-,,24000000000.0,-24000000000.0,
Công ty TNHH MTV Thủy điện Thượng Lộ,Công ty TNHH MTV Thủy điện Thượng Lộ,Công ty TNHH MTV Thủy điện Thượng Lộ,-,2.900.000.000,(2.900.000.000),-,,2900000000.0,-2900000000.0,
,,,130.200.000.000,241.389.904.119,(302.389.506.280),69.200.397.839,130200000000.0,241389904119.0,-302389506280.0,69200397839.0
