row_label_raw,row_label_full,col_0,Tại ngày đầu năm VND,Tăng VND,Giảm VND,Phân loại lại VND,Tại ngày cuối năm VND,numeric__Tại ngày đầu năm VND,numeric__Tăng VND,numeric__Giảm VND,numeric__Phân loại lại VND,numeric__Tại ngày cuối năm VND
Vay ngân hàng (*),Vay ngân hàng (*),Vay ngân hàng (*),1.181.400.000.000,-,-,(85.600.000.000),1.095.800.000.000,1181400000000.0,,,-85600000000.0,1095800000000.0
Phát hành trái phiếu (**),Phát hành trái phiếu (**),Phát hành trái phiếu (**),489.000.000.000,200.000.000.000,(3.000.000.000),(231.000.000.000),455.000.000.000,489000000000.0,200000000000.0,-3000000000.0,-231000000000.0,455000000000.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(3.976.983.338),(2.600.000.000),1.838.705.559,-,(4.738.277.779),-3976983338.0,-2600000000.0,1838705559.0,,-4738277779.0
Khác,Khác,Khác,38.439.999,-,(14.160.000),-,24.279.999,38439999.0,,-14160000.0,,24279999.0
,,,1.666.461.456.661,197.400.000.000,(1.175.454.441),(316.600.000.000),1.546.086.002.220,1666461456661.0,197400000000.0,-1175454441.0,-316600000000.0,1546086002220.0
(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,,,,,
,,,Số hợp đồng,Số cuối năm VND,Mục đích vay,Kỳ hạn trả gốc,Lãi suất và tài sản thể chấp,,,,,
Agribank – Chi nhánh Gia Lai,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau: > Agribank – Chi nhánh Gia Lai,Agribank – Chi nhánh Gia Lai,01/HĐTD/AGRIB ANK-GEC,431.000.000.000,Đầu tư vào dự án nhà máy điện mặt trời Phong Điền,Đến tháng 9 năm 2029,(i),,431000000000.0,,,
Vietcombank - Chi nhánh Gia Lai,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau: > Vietcombank - Chi nhánh Gia Lai,Vietcombank - Chi nhánh Gia Lai,215/2018/VCB-GEC,750.400.000.000,Đầu tư vào dự án nhà máy điện mặt trờiKrông Pa,Đến tháng 11 năm 2030,(ii),,750400000000.0,,,
Đáo hạn trong vòng 1 năm,Đáo hạn trong vòng 1 năm,Đáo hạn trong vòng 1 năm,,1.181.400.000.000(85.600.000.000),,,,,,,,
,,,,1.095.800.000.000,,,,,1095800000000.0,,,
