row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị VND,Số cuối năm > Dự phòng VND,Số đầu năm > Giá trị VND,Số đầu năm > Dự phòng VND,numeric__Số cuối năm > Giá trị VND,numeric__Số cuối năm > Dự phòng VND,numeric__Số đầu năm > Giá trị VND,numeric__Số đầu năm > Dự phòng VND
Đặt cọc chuyển nhượng cổ phần (*),Đặt cọc chuyển nhượng cổ phần (*),Đặt cọc chuyển nhượng cổ phần (*),205.959.520.000,-,-,-,205959520000.0,,,
Đặt cọc quyền chọn mua cổ phần (**),Đặt cọc quyền chọn mua cổ phần (**),Đặt cọc quyền chọn mua cổ phần (**),110.000.000.000,-,-,-,110000000000.0,,,
Tạm ứng cho nhân viên (***),Tạm ứng cho nhân viên (***),Tạm ứng cho nhân viên (***),24.294.085.130,-,12.176.519.618,-,24294085130.0,,12176519618.0,
Phải thu cổ tức và lợi nhuận được chia,Phải thu cổ tức và lợi nhuận được chia,Phải thu cổ tức và lợi nhuận được chia,39.536.731.250,-,34.148.366.250,-,39536731250.0,,34148366250.0,
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,1.282.635.336,-,2.846.369.826,-,1282635336.0,,2846369826.0,
Khác,Khác,Khác,3.108.362.631,-,2.635.669.593,-,3108362631.0,,2635669593.0,
,,,384.181.334.347,-,51.806.925.287,-,384181334347.0,,51806925287.0,
Trong đóBên liên quan(Thuyết minh 30(b)),Trong đóBên liên quan(Thuyết minh 30(b)),Trong đóBên liên quan(Thuyết minh 30(b)),359.523.835.068,-,39.170.096.380,-,359523835068.0,,39170096380.0,
Bên thứ ba,Bên thứ ba,Bên thứ ba,24.657.499.279,-,12.636.828.907,-,24657499279.0,,12636828907.0,
,,,384.181.334.347,-,51.806.925.287,-,384181334347.0,,51806925287.0,
