row_label_raw,row_label_full,Hội đồng Quản trị,Hội đồng Quản trị_1,Hội đồng Quản trị_2,numeric__Hội đồng Quản trị_1,numeric__Hội đồng Quản trị_2
,,,Ông Tân Xuân HiếnBà Nguyễn Thùy VânÔng Deepak C. Khanna,Chữ tịchThành viênThành viên(từ ngày 12 tháng 6 năm 2020),,
,,,Ông Phạm Hồng Dương,Thành viên độc lập(từ ngày 12 tháng 6 năm 2020),,
,,,Bà Phạm Thị Khuê,Thành viên độc lập(từ ngày 12 tháng 6 năm 2020),,
,,,Ông Jean-Paul Pinard,Thành viên(đến ngày 29 tháng 4 năm 2020),,
,,,Ông Andrew Mark Affleck,Thành viên(đến ngày 23 tháng 11 năm 2020),,
,,,Bà Phạm Ngọc Thanh Mai,Thành viên(đến ngày 8 tháng 6 năm 2020),,
