row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư và phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư và phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,1.941.825.500.000,28.963.735.153,24.927.813.411,172.090.049.957,2.167.807.098.521,1941825500000.0,28963735153.0,24927813411.0,172090049957.0,2167807098521.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,97.091.270.000,9.709.127.000,-,-,106.800.397.000,97091270000.0,9709127000.0,,,106800397000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,217.250.405.920,217.250.405.920,,,,217250405920.0,217250405920.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(16.931.432.770),(16.931.432.770),,,,-16931432770.0,-16931432770.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,10.666.283.064,(10.666.283.064),-,,,10666283064.0,-10666283064.0,
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(135.927.785.000),(135.927.785.000),,,,-135927785000.0,-135927785000.0
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,2.038.916.770.000,38.672.862.153,35.594.096.475,225.814.955.043,2.338.998.683.671,2038916770000.0,38672862153.0,35594096475.0,225814955043.0,2338998683671.0
Phát hành cổ phiếu (Thuyết minh 19(c)),Phát hành cổ phiếu (Thuyết minh 19(c)),Phát hành cổ phiếu (Thuyết minh 19(c)),509.729.190.000,(466.600.000),-,-,509.262.590.000,509729190000.0,-466600000.0,,,509262590000.0
Phát hành cổ phiếu bằng cổ tức (Thuyết minh 19(c)),Phát hành cổ phiếu bằng cổ tức (Thuyết minh 19(c)),Phát hành cổ phiếu bằng cổ tức (Thuyết minh 19(c)),163.105.920.000,-,-,(163.105.920.000),-,163105920000.0,,,-163105920000.0,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,253.901.289.543,253.901.289.543,,,,253901289543.0,253901289543.0
"Trích quỹ khen thưởng, phúc lợi (*)","Trích quỹ khen thưởng, phúc lợi (*)","Trích quỹ khen thưởng, phúc lợi (*)",-,-,-,(15.028.235.217),(15.028.235.217),,,,-15028235217.0,-15028235217.0
Trích quỹ đầu tư phát triển (*),Trích quỹ đầu tư phát triển (*),Trích quỹ đầu tư phát triển (*),-,-,7.617.038.686,(7.617.038.686),-,,,7617038686.0,-7617038686.0,
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,2.711.751.880.000,38.206.262.153,43.211.135.161,293.965.050.683,3.087.134.327.997,2711751880000.0,38206262153.0,43211135161.0,293965050683.0,3087134327997.0
