row_label_raw,row_label_full,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo),THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_1,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_2,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_3,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_1,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_2,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_3
Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),,,
Bên liên quan,Bên liên quan,Bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,,,
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Cho vay,165.789.904.119,20.000.000.000,,165789904119.0,20000000000.0
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Chuyển đổi cho vay thành đặt cọc,110.000.000.000,-,,110000000000.0,
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Thu hồi khoản vay,6.589.506.280,-,,6589506280.0,
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Lãi cho vay,10.106.631.891,703.602.745,,10106631891.0,703602745.0
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Chuyển đổi khoản phải thu lãi vay thành đặt cọc,8.410.493.720,-,,8410493720.0,
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Doanh thu bán hàng và cung cấp dịch vụ,832.583.324,1.104.880.551,,832583324.0,1104880551.0
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Mua hàng hóa và dịch vụ,2.817.600,-,,2817600.0,
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Ứng trước mua hàng hóa và dịch vụ,-,10.000.000.000,,,10000000000.0
Công ty Cổ phần Thành Thành Nam,Bên liên quan > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Mua dịch vụ,5.738.573.728,3.127.939.410,,5738573728.0,3127939410.0
Công ty Cổ phần Thương mại Thành Thành Công,Bên liên quan > Công ty Cổ phần Thương mại Thành Thành Công,Công ty Cổ phần Thương mại Thành Thành Công,Mua hàng hóa và dịch vụ,180.733.395,-,,180733395.0,
Công ty Cổ phần Xuất Nhập Khẩu Bến Tre,Bên liên quan > Công ty Cổ phần Xuất Nhập Khẩu Bến Tre,Công ty Cổ phần Xuất Nhập Khẩu Bến Tre,Mua hàng hóa và dịch vụ,103.636.364,50.318.182,,103636364.0,50318182.0
Công ty Cổ phần Du lịch Thanh Bình,Bên liên quan > Công ty Cổ phần Du lịch Thanh Bình,Công ty Cổ phần Du lịch Thanh Bình,Mua dịch vụ,165.398.096,377.400.545,,165398096.0,377400545.0
Công ty TNHH MTV Nhiệt điện Ninh Hòa,Bên liên quan > Công ty TNHH MTV Nhiệt điện Ninh Hòa,Công ty TNHH MTV Nhiệt điện Ninh Hòa,Doanh thu bán hàng và cung cấp dịch vụ,87.043.876,203.023.144,,87043876.0,203023144.0
