row_label_raw,row_label_full,Phải thu về cho vay ngắn hạn (Thuyết minh 6),Số cuối năm VND > Phải thu về cho vay ngắn hạn (Thuyết minh 6),Số đầu năm VND > Phải thu về cho vay ngắn hạn (Thuyết minh 6),numeric__Số cuối năm VND > Phải thu về cho vay ngắn hạn (Thuyết minh 6),numeric__Số đầu năm VND > Phải thu về cho vay ngắn hạn (Thuyết minh 6)
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,69.200.397.839,20.000.000.000,69200397839.0,20000000000.0
Công ty Cổ phần Điện TTC Đức Huệ -Long An,Công ty Cổ phần Điện TTC Đức Huệ -Long An,Công ty Cổ phần Điện TTC Đức Huệ -Long An,-,50.500.000.000,,50500000000.0
Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,-,56.000.000.000,,56000000000.0
Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,-,2.900.000.000,,2900000000.0
Công ty TNHH Một thành viên Tư Vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư Vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư Vấn và Phát triển Năng lượng Gia Lai,-,800.000.000,,800000000.0
,,,69.200.397.839,130.200.000.000,69200397839.0,130200000000.0
Phải thu ngắn hạn khác (Thuyết minh 7(a)),Phải thu ngắn hạn khác (Thuyết minh 7(a)),Phải thu ngắn hạn khác (Thuyết minh 7(a)),Phải thu ngắn hạn khác (Thuyết minh 7(a)),Phải thu ngắn hạn khác (Thuyết minh 7(a)),,
Công ty Cổ phần Đầu tư Thành Thành Công,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,205.959.520.000,-,205959520000.0,
Công ty Cổ phần Thủy điện Trường Phú,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,111.500.247.706,703.602.745,111500247706.0,703602745.0
Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,16.384.313.000,696.821.918,16384313000.0,696821918.0
Công ty Cổ phần Điện TTC Đức Huệ-Long An,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty Cổ phần Điện TTC Đức Huệ-Long An,Công ty Cổ phần Điện TTC Đức Huệ-Long An,14.911.175.331,25.904.000.000,14911175331.0,25904000000.0
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,6.214.650.685,6.200.000.000,6214650685.0,6200000000.0
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,4.237.242.250,4.266.799.994,4237242250.0,4266799994.0
Công ty Cổ phần Điện gió la Bang,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,309.041.096,-,309041096.0,
Công ty Cổ phần Thủy điện Gia Lai,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,7.645.000,115.384.332,7645000.0,115384332.0
Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,-,1.087.298.630,,1087298630.0
Công ty Cổ phần Biên Hòa - Thành Long,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,-,185.123.286,,185123286.0
Công ty Cổ phần Thương mại Thành Thành Công,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty Cổ phần Thương mại Thành Thành Công,Công ty Cổ phần Thương mại Thành Thành Công,-,10.000.000,,10000000.0
Công ty TNHH Một thành viên Tư Vấn và Phát triển Năng lượng Gia Lai,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty TNHH Một thành viên Tư Vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư Vấn và Phát triển Năng lượng Gia Lai,-,1.065.475,,1065475.0
,,,359.523.835.068,39.170.096.380,359523835068.0,39170096380.0
Phải thu dài hạn khác (Thuyết minh 7(b)),Phải thu dài hạn khác (Thuyết minh 7(b)),Phải thu dài hạn khác (Thuyết minh 7(b)),Phải thu dài hạn khác (Thuyết minh 7(b)),Phải thu dài hạn khác (Thuyết minh 7(b)),,
Công ty Cổ phần Thành Thành Nam,Phải thu dài hạn khác (Thuyết minh 7(b)) > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,498.204.382,498.204.382,498204382.0,498204382.0
