row_label_raw,row_label_full,30 THUYẾT MINH CÁC BÊN LIÊN QUAN,30 THUYẾT MINH CÁC BÊN LIÊN QUAN_1,30 THUYẾT MINH CÁC BÊN LIÊN QUAN_2,30 THUYẾT MINH CÁC BÊN LIÊN QUAN_3,numeric__30 THUYẾT MINH CÁC BÊN LIÊN QUAN_1,numeric__30 THUYẾT MINH CÁC BÊN LIÊN QUAN_2,numeric__30 THUYẾT MINH CÁC BÊN LIÊN QUAN_3
(a) Giao dịch với các bên liên quan,(a) Giao dịch với các bên liên quan,(a) Giao dịch với các bên liên quan,(a) Giao dịch với các bên liên quan,(a) Giao dịch với các bên liên quan,(a) Giao dịch với các bên liên quan,,,
Bên liên quan,Bên liên quan,Bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,,,
Công ty Cổ phần Thủy điện Gia Lai,Bên liên quan > Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Doanh thu bán hàng và cung cấp dịch vụ,33.566.934.734,18.946.810.583,,33566934734.0,18946810583.0
Công ty Cổ phần Thủy điện Gia Lai,Bên liên quan > Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Góp vốn,183.360.600.000,-,,183360600000.0,
Công ty Cổ phần Thủy điện Gia Lai,Bên liên quan > Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Cổ tức được chia,54.277.697.600,47.677.456.000,,54277697600.0,47677456000.0
Công ty Cổ phần Thủy điện Gia Lai,Bên liên quan > Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Cho vay,-,9.800.000.000,,,9800000000.0
Công ty Cổ phần Thủy điện Gia Lai,Bên liên quan > Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Thu hồi khoản cho vay,-,9.800.000.000,,,9800000000.0
Công ty Cổ phần Thủy điện Gia Lai,Bên liên quan > Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Mua hàng hóa dịch vụ,500.000,527.415.965,,500000.0,527415965.0
Công ty Cổ phần Thủy điện Gia Lai,Bên liên quan > Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Chi phí chi hộ,320.620.384,1.097.766.947,,320620384.0,1097766947.0
Công ty Cổ phần Thủy điện Gia Lai,Bên liên quan > Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Lãi cho vay,-,2.684.932,,,2684932.0
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Bên liên quan > Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,"Mua hàng hóa, dịch vụ",11.794.700.057,1.928.343.711,,11794700057.0,1928343711.0
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Bên liên quan > Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Doanh thu bán hàng và cung cấp dịch vụ,1.453.739.149,3.070.513.867,,1453739149.0,3070513867.0
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Bên liên quan > Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Chi phí chi hộ,278.169.608,491.361.768,,278169608.0,491361768.0
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Bên liên quan > Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Bồi thường,111.280.000,-,,111280000.0,
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Bên liên quan > Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Cho vay,-,4.700.000.000,,,4700000000.0
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Bên liên quan > Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Thu hồi khoản cho vay,-,4.700.000.000,,,4700000000.0
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Bên liên quan > Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Lợi nhuận được chia,-,1.700.000.000,,,1700000000.0
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Bên liên quan > Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Lãi cho vay,-,522.376.921,,,522376921.0
