row_label_raw,row_label_full,col_0,Giá trị hợp lý,Số cuối năm > Giá gốc VND,Số cuối năm > Tỉ lệ sở hữu (thực góp) %,Số cuối năm > Dự phòng VND,Số đầu năm > Giá gốc VND,Số đầu năm > Tỉ lệ sở hữu (thực góp) %,Số đầu năm > Dự phòng VND,numeric__Giá trị hợp lý,numeric__Số cuối năm > Giá gốc VND,numeric__Số cuối năm > Tỉ lệ sở hữu (thực góp) %,numeric__Số cuối năm > Dự phòng VND,numeric__Số đầu năm > Giá gốc VND,numeric__Số đầu năm > Tỉ lệ sở hữu (thực góp) %,numeric__Số đầu năm > Dự phòng VND
Công ty Cổ phần Thủy điện Gia Lai (i),Công ty Cổ phần Thủy điện Gia Lai (i),Công ty Cổ phần Thủy điện Gia Lai (i),(*),354.242.730.932,"60,59",-,170.882.130.932,"58,14",-,,354242730932.0,60.59,,170882130932.0,58.14,
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,(**),81.206.201.240,"100,00",(3.698.825.355),81.206.201.240,"100,00",(4.157.592.956),,81206201240.0,100.0,-3698825355.0,81206201240.0,100.0,-4157592956.0
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,(**),17.197.314.737,"100,00",(1.419.668.839),17.197.314.737,"100,00",-,,17197314737.0,100.0,-1419668839.0,17197314737.0,100.0,
Công ty Cổ phần Điện TTC Tây Sơn – Bình Định,Công ty Cổ phần Điện TTC Tây Sơn – Bình Định,Công ty Cổ phần Điện TTC Tây Sơn – Bình Định,(**),2.550.000.000,"100,00",(28.799.559),2.550.000.000,"100,00",(10.969.397),,2550000000.0,100.0,-28799559.0,2550000000.0,100.0,-10969397.0
Công ty Cổ phần Điện Mặt trời TTC Tây Sơn - Bình Định,Công ty Cổ phần Điện Mặt trời TTC Tây Sơn - Bình Định,Công ty Cổ phần Điện Mặt trời TTC Tây Sơn - Bình Định,(**),2.550.000.000,"100,00",(134.183.932),2.550.000.000,"100,00",(103.558.951),,2550000000.0,100.0,-134183932.0,2550000000.0,100.0,-103558951.0
Công ty Cổ phần Điện TTC Đức Huệ - Long An (ii),Công ty Cổ phần Điện TTC Đức Huệ - Long An (ii),Công ty Cổ phần Điện TTC Đức Huệ - Long An (ii),(**),426.296.000.000,"99,95",-,379.296.000.000,"99,94",-,,426296000000.0,99.95,,379296000000.0,99.94,
Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An (Thuyết minh 36),Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An (Thuyết minh 36),Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An (Thuyết minh 36),(**),165.240.000.000,"51,30",(1.304.128.689),165.240.000.000,"66,14",(389.803.237),,165240000000.0,51.3,-1304128689.0,165240000000.0,66.14,-389803237.0
Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,(**),1.500.000.000,"100,00",-,1.500.000.000,"100,00",-,,1500000000.0,100.0,,1500000000.0,100.0,
Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn (ii),Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn (ii),Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn (ii),(**),348.843.130.000,"99,96",-,301.864.250.000,"99,96",-,,348843130000.0,99.96,,301864250000.0,99.96,
Công ty Cổ phần Năng lượng VPL (iii),Công ty Cổ phần Năng lượng VPL (iii),Công ty Cổ phần Năng lượng VPL (iii),(**),199.799.900.000,"99,90",-,179.800.000.000,"89,90",(117.711.381),,199799900000.0,99.9,,179800000000.0,89.9,-117711381.0
Công ty Cổ phần Năng lượng điện gió Tiền Giang (iv),Công ty Cổ phần Năng lượng điện gió Tiền Giang (iv),Công ty Cổ phần Năng lượng điện gió Tiền Giang (iv),(**),100.000.000.000,"50,00",-,-,-,-,,100000000000.0,50.0,,,,
Công ty Cổ phần Điện gió la Bang (v),Công ty Cổ phần Điện gió la Bang (v),Công ty Cổ phần Điện gió la Bang (v),(**),252.000.000.000,"75,45",-,-,-,-,,252000000000.0,75.45,,,,
Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vĩ - Ja (vi),Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vĩ - Ja (vi),Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vĩ - Ja (vi),(**),15.000.000.000,"100,00",-,-,-,-,,15000000000.0,100.0,,,,
Công ty Cổ phần Thủy điện Kênh Bắc – Ayun Hạ (vii),Công ty Cổ phần Thủy điện Kênh Bắc – Ayun Hạ (vii),Công ty Cổ phần Thủy điện Kênh Bắc – Ayun Hạ (vii),,-,-,-,5.880.000.000,"65,33",(84.847.306),,,,,5880000000.0,65.33,-84847306.0
,,,,1.966.425.276.909,,(6.585.606.374),1.307.965.896.909,,(4.864.483.228),,1966425276909.0,,-6585606374.0,1307965896909.0,,-4864483228.0
