row_label_raw,row_label_full,30,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo),THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_1,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_2,Mẫu số B 09 – DN,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo),numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_1,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_2,numeric__Mẫu số B 09 – DN
(a),(a),(a),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),,,,
,,,Bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,,,,
,,,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Doanh thu bán hàng và cung cấp dịch vụ,1.515.318.147,1.669.482.322,,,1515318147.0,1669482322.0
,,,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Cho vay,2.900.000.000,-,,,2900000000.0,
,,,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Thu hồi cho vay,2.900.000.000,-,,,2900000000.0,
,,,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Chi phí chi hộ,121.486.451,256.888.205,,,121486451.0,256888205.0
,,,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Lãi cho vay,55.808.219,-,,,55808219.0,
,,,Công ty TNHH Một thành viên Thủy điện Thương Lộ,"Mua hàng hóa, dịch vụ",18.558.598,26.042.568,,,18558598.0,26042568.0
,,,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Lợi nhuận được chia,2.200.960.988,955.000.000,,,2200960988.0,955000000.0
,,,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Thu hồi khoản cho vay,800.000.000,-,,,800000000.0,
,,,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,"Mua hàng hóa, dịch vụ",404.256.039,619.145.774,,,404256039.0,619145774.0
,,,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Doanh thu bán hàng và cung cấp dịch vụ,234.164.162,981.959.925,,,234164162.0,981959925.0
,,,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Chi phí chi hộ,133.101.756,112.943.004,,,133101756.0,112943004.0
,,,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Lãi cho vay,35.331.508,32.197.261,,,35331508.0,32197261.0
,,,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Cho vay,-,800.000.000,,,,800000000.0
