row_label_raw,row_label_full,30 THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo),30 THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_1,30 THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_2,30 THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_3,numeric__30 THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_1,numeric__30 THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_2,numeric__30 THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_3
(a) Giao dịch với các bên liên quan (tiếp theo),(a) Giao dịch với các bên liên quan (tiếp theo),(a) Giao dịch với các bên liên quan (tiếp theo),(a) Giao dịch với các bên liên quan (tiếp theo),(a) Giao dịch với các bên liên quan (tiếp theo),(a) Giao dịch với các bên liên quan (tiếp theo),,,
Bên liên quan,Bên liên quan,Bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,,,
Công ty Cổ phần Điện TTC Đức Huệ - Long An,Bên liên quan > Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Doanh thu bán hàng và cung cấp dịch vụ,53.564.076.474,3.793.397.273,,53564076474.0,3793397273.0
Công ty Cổ phần Điện TTC Đức Huệ - Long An,Bên liên quan > Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Cổ tức được chia,51.908.052.000,25.904.000.000,,51908052000.0,25904000000.0
Công ty Cổ phần Điện TTC Đức Huệ - Long An,Bên liên quan > Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Góp vốn,47.000.000.000,82.620.000.000,,47000000000.0,82620000000.0
Công ty Cổ phần Điện TTC Đức Huệ - Long An,Bên liên quan > Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Chi phí chi hộ,46.457.291,71.099.745,,46457291.0,71099745.0
Công ty Cổ phần Điện TTC Đức Huệ - Long An,Bên liên quan > Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Cho vay,-,2.900.000.000,,,2900000000.0
Công ty Cổ phần Điện TTC Đức Huệ - Long An,Bên liên quan > Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Thu hồi khoản cho vay,-,2.900.000.000,,,2900000000.0
Công ty Cổ phần Điện TTC Đức Huệ - Long An,Bên liên quan > Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Lãi cho vay,-,4.767.123,,,4767123.0
Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Bên liên quan > Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Cho vay,48.700.000.000,50.500.000.000,,48700000000.0,50500000000.0
Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Bên liên quan > Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Lãi cho vay,7.703.517.807,1.178.049.314,,7703517807.0,1178049314.0
Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Bên liên quan > Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Thu hồi khoản cho vay,99.200.000.000,-,,99200000000.0,
Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Bên liên quan > Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Góp vốn,-,162.690.000.000,,,162690000000.0
Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Bên liên quan > Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,"Mua hàng hóa, dịch vụ",-,146.688.759.770,,,146688759770.0
Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Bên liên quan > Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Công ty Cổ phần Điện Mặt trời TTC Đức Huệ - Long An,Doanh thu bán hàng và cung cấp dịch vụ,-,5.454.545,,,5454545.0
Công ty Cổ phần Điện Mặt trời TTC Tây Sơn - Bình Định,Bên liên quan > Công ty Cổ phần Điện Mặt trời TTC Tây Sơn - Bình Định,Công ty Cổ phần Điện Mặt trời TTC Tây Sơn - Bình Định,Chi phí chi hộ,18.414.546,4.545.455,,18414546.0,4545455.0
Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Bên liên quan > Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Doanh thu bán hàng và cung cấp dịch vụ,61.150.681.137,81.949.463.010,,61150681137.0,81949463010.0
