row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm > Chuyển sang TSCĐ hữu hình(Thuyết minh 10(a)) > Chuyển sang TSCĐ vô hình(Thuyết minh 10(b)),Năm nay VND > 8.368.479.489 > 3.496.178.165 > (702.033.066) > (72.500.000),Năm trước VND > 15.186.876.903 > 172.426.386.716 > (173.314.749.478) > (5.217.150.600),numeric__Năm nay VND > 8.368.479.489 > 3.496.178.165 > (702.033.066) > (72.500.000),numeric__Năm trước VND > 15.186.876.903 > 172.426.386.716 > (173.314.749.478) > (5.217.150.600)
Thanh lý dự án,Thanh lý dự án,Thanh lý dự án,(1.768.098.394),(712.884.052),-1768098394.0,-712884052.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,9.322.026.194,8.368.479.489,9322026194.0,8368479489.0
