row_label_raw,row_label_full,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo),THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_1,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_2,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_3,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_1,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_2,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_3
Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),,,
Bên liên quan,Bên liên quan,Bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,,,
Công ty Cổ phần Đầu tư Thành Thành Công,Bên liên quan > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,"Mua hàng hóa, dịch vụ",5.590.487.944,12.213.163.062,,5590487944.0,12213163062.0
Công ty Cổ phần Đầu tư Thành Thành Công,Bên liên quan > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Đặt cọc,205.959.520.000,-,,205959520000.0,
Công ty Cổ phần Đầu tư Thành Thành Công,Bên liên quan > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Chi phí chi hộ,-,214.056.000.000,,,214056000000.0
Công ty Cổ phần Đầu tư Thành Thành Công,Bên liên quan > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Lãi trả chậm,-,1.485.054.575,,,1485054575.0
Công ty Cổ phần Đầu tư Thành Thành Công,Bên liên quan > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Doanh thu bán hàng và cung cấp dịch vụ,-,36.340.910,,,36340910.0
Tổng Công ty Điện lực Miền Trung,Bên liên quan > Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Doanh thu bán điện,160.536.504.578,148.472.924.583,,160536504578.0,148472924583.0
Công ty Cổ phần Xây dựng và Kết cấu Thép Đại Tín,Bên liên quan > Công ty Cổ phần Xây dựng và Kết cấu Thép Đại Tín,Công ty Cổ phần Xây dựng và Kết cấu Thép Đại Tín,Doanh thu bán hàng,43.882.781.455,-,,43882781455.0,
Công ty Cổ phần Năng lượng TTC,Bên liên quan > Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,Doanh thu bán hàng và cung cấp dịch vụ,8.958.439.988,29.071.159.431,,8958439988.0,29071159431.0
Công ty Cổ phần Năng lượng TTC,Bên liên quan > Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,Mua hàng hóa và dịch vụ,22.877.928.928,1.147.434.800,,22877928928.0,1147434800.0
Công ty Cổ phần Du lịch Thành Thành Công,Bên liên quan > Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Mua hàng hóa và dịch vụ,1.206.946.732,3.706.585.000,,1206946732.0,3706585000.0
Công ty TNHH Mía đường TTC Attapeu,Bên liên quan > Công ty TNHH Mía đường TTC Attapeu,Công ty TNHH Mía đường TTC Attapeu,Doanh thu bán hàng và cung cấp dịch vụ,90.545.459,90.545.460,,90545459.0,90545460.0
