row_label_raw,row_label_full,Phải thu gốc hợp tác đầu tư\( ^{(i)} \) (Thuyết minh V.4),Số cuối năm > 507.400.000.000,Số đầu năm > 467.950.000.000,numeric__Số cuối năm > 507.400.000.000,numeric__Số đầu năm > 467.950.000.000
Công ty Cổ phần Đầu tư Bất động sản F.I.T,Công ty Cổ phần Đầu tư Bất động sản F.I.T,Công ty Cổ phần Đầu tư Bất động sản F.I.T,233.000.000.000,104.750.000.000,233000000000.0,104750000000.0
Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,121.000.000.000,363.200.000.000,121000000000.0,363200000000.0
Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,153.400.000.000,-,153400000000.0,
Phải thu lợi nhuận hợp tác đầu tư\( ^{(i)} \) (Thuyết minh V.4),Phải thu lợi nhuận hợp tác đầu tư\( ^{(i)} \) (Thuyết minh V.4),Phải thu lợi nhuận hợp tác đầu tư\( ^{(i)} \) (Thuyết minh V.4),16.080.399.442,12.731.311.502,16080399442.0,12731311502.0
Công ty Cổ phần Đầu tư Bất động sản F.I.T,Công ty Cổ phần Đầu tư Bất động sản F.I.T,Công ty Cổ phần Đầu tư Bất động sản F.I.T,15.340.660.265,10.959.780.815,15340660265.0,10959780815.0
Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,66.816.438,1.771.530.687,66816438.0,1771530687.0
Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,672.922.739,-,672922739.0,
Phải thu các khoản chi hộ (Thuyết minh V.4),Phải thu các khoản chi hộ (Thuyết minh V.4),Phải thu các khoản chi hộ (Thuyết minh V.4),253.400.844,1.341.904.963,253400844.0,1341904963.0
Công ty Cổ phần Dược phẩm Cửu Long,Công ty Cổ phần Dược phẩm Cửu Long,Công ty Cổ phần Dược phẩm Cửu Long,-,1.088.504.119,,1088504119.0
Công ty Cổ phần FIT Cosmetics,Công ty Cổ phần FIT Cosmetics,Công ty Cổ phần FIT Cosmetics,253.400.844,253.400.844,253400844.0,253400844.0
Người mua trả tiền trước (Thuyết minh V.8),Người mua trả tiền trước (Thuyết minh V.8),Người mua trả tiền trước (Thuyết minh V.8),-,903.440.515,,903440515.0
Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,-,903.440.515,,903440515.0
