row_label_raw,row_label_full,Phải thu các bên liên quan (Xem thuyết minh VIII.1d),Số cuối năm > Giá trị > 523.733.800.286,Số cuối năm > Dự phòng,Số đầu năm > Giá trị > 482.023.216.465,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị > 523.733.800.286,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị > 482.023.216.465,numeric__Số đầu năm > Dự phòng
Phải thu gốc hợp tác đầu tư,Phải thu gốc hợp tác đầu tư,Phải thu gốc hợp tác đầu tư,507.400.000.000,,467.950.000.000,,507400000000.0,,467950000000.0,
Phải thu lợi nhuận hợp tác đầu tư,Phải thu lợi nhuận hợp tác đầu tư,Phải thu lợi nhuận hợp tác đầu tư,16.080.399.442,,12.731.311.502,,16080399442.0,,12731311502.0,
Phải thu các khoản chi hộ,Phải thu các khoản chi hộ,Phải thu các khoản chi hộ,253.400.844,,1.341.904.963,,253400844.0,,1341904963.0,
Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,2.584.217.372,,374.593.134.254,,2584217372.0,,374593134254.0,
Phải thu gốc hợp tác đầu tư,Phải thu gốc hợp tác đầu tư,Phải thu gốc hợp tác đầu tư,,-,365.595.280.821,,,,365595280821.0,
Công ty Cổ phần Đầu tư và Khoáng sản Hợp Thành,Công ty Cổ phần Đầu tư và Khoáng sản Hợp Thành,Công ty Cổ phần Đầu tư và Khoáng sản Hợp Thành,,-,38.811.780.821,,,,38811780821.0,
Công ty TNHH Đầu tư Phát triển kinh doanh Tân An,Công ty TNHH Đầu tư Phát triển kinh doanh Tân An,Công ty TNHH Đầu tư Phát triển kinh doanh Tân An,,-,233.883.500.000,,,,233883500000.0,
Công ty TNHH Dịch vụ Đầu tư Việt Hoàng,Công ty TNHH Dịch vụ Đầu tư Việt Hoàng,Công ty TNHH Dịch vụ Đầu tư Việt Hoàng,,-,70.000.000.000,,,,70000000000.0,
Nguyễn Văn Đạt,Nguyễn Văn Đạt,Nguyễn Văn Đạt,,-,22.900.000.000,,,,22900000000.0,
Phải thu lợi nhuận hợp tác đầu tư,Phải thu lợi nhuận hợp tác đầu tư,Phải thu lợi nhuận hợp tác đầu tư,,-,7.380.237.398,,,,7380237398.0,
Công ty Cổ phần Đầu tư và Khoáng sản Hợp Thành,Công ty Cổ phần Đầu tư và Khoáng sản Hợp Thành,Công ty Cổ phần Đầu tư và Khoáng sản Hợp Thành,,-,1.823.717.096,,,,1823717096.0,
Công ty TNHH Đầu tư Phát triển kinh doanh Tân An,Công ty TNHH Đầu tư Phát triển kinh doanh Tân An,Công ty TNHH Đầu tư Phát triển kinh doanh Tân An,,-,4.139.417.562,,,,4139417562.0,
Công ty TNHH Dịch vụ Đầu tư Việt Hoàng,Công ty TNHH Dịch vụ Đầu tư Việt Hoàng,Công ty TNHH Dịch vụ Đầu tư Việt Hoàng,,-,1.020.273.973,,,,1020273973.0,
Nguyễn Văn Đạt,Nguyễn Văn Đạt,Nguyễn Văn Đạt,,-,396.828.767,,,,396828767.0,
"Dự thu lãi tiền gửi có kỳ hạn, lãi trái phiếu","Dự thu lãi tiền gửi có kỳ hạn, lãi trái phiếu","Dự thu lãi tiền gửi có kỳ hạn, lãi trái phiếu",2.250.383.832,,1.435.740.274,,2250383832.0,,1435740274.0,
Tạm ứng cho cán bộ nhân viên,Tạm ứng cho cán bộ nhân viên,Tạm ứng cho cán bộ nhân viên,63.233.540,,93.275.761,,63233540.0,,93275761.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",268.600.000,,88.600.000,,268600000.0,,88600000.0,
Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,2.000.000,,-,,2000000.0,,,
Cộng,Cộng,Cộng,526.318.017.658,,856.616.350.719,,526318017658.0,,856616350719.0,
