row_label_raw,row_label_full,Trả trước của các bên liên quan (xem thuyết minh VIII.1d),Số cuối năm > -,Số đầu năm > 903.440.515,numeric__Số cuối năm > -,numeric__Số đầu năm > 903.440.515
Trả trước của các khách hàng khác,Trả trước của các khách hàng khác,Trả trước của các khách hàng khác,-,248.402.295,,248402295.0
Cộng,Cộng,Cộng,-,1.151.842.810,,1151842810.0
