row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,,40.804.643.259,84.948.441.491,1.0,,40804643259.0,84948441491.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,,,,,,
- Khấu hao tài sản cố định và bất động sản đầu tư,2. Điều chỉnh cho các khoản: > - Khấu hao tài sản cố định và bất động sản đầu tư,- Khấu hao tài sản cố định và bất động sản đầu tư,02,VI.8,3.220.751.069,3.163.334.941,2.0,,3220751069.0,3163334941.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản: > - Các khoản dự phòng,- Các khoản dự phòng,03,,(11.860.686.688),(43.881.430.459),3.0,,-11860686688.0,-43881430459.0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","2. Điều chỉnh cho các khoản: > - Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,-,,4.0,,,
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản: > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,VI.3,(20.731.746.534),(14.468.257.301),5.0,,-20731746534.0,-14468257301.0
- Chi phí lãi vay,2. Điều chỉnh cho các khoản: > - Chi phí lãi vay,- Chi phí lãi vay,06,VI.4,17.253.377.283,13.908.965.689,6.0,,17253377283.0,13908965689.0
- Các khoản điều chỉnh khác,2. Điều chỉnh cho các khoản: > - Các khoản điều chỉnh khác,- Các khoản điều chỉnh khác,07,,-,,7.0,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,28.686.338.389,43.671.054.361,8.0,,28686338389.0,43671054361.0
"- Tăng, giảm các khoản phải thu","2. Điều chỉnh cho các khoản: > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,,333.984.860.287,(349.405.910.918),9.0,,333984860287.0,-349405910918.0
"- Tăng, giảm hàng tồn kho","2. Điều chỉnh cho các khoản: > - Tăng, giảm hàng tồn kho","- Tăng, giảm hàng tồn kho",10,,-,,10.0,,,
"- Tăng, giảm các khoản phải trả","2. Điều chỉnh cho các khoản: > - Tăng, giảm các khoản phải trả","- Tăng, giảm các khoản phải trả",11,,(1.076.674.737),(388.617.496),11.0,,-1076674737.0,-388617496.0
"- Tăng, giảm chi phí trả trước","2. Điều chỉnh cho các khoản: > - Tăng, giảm chi phí trả trước","- Tăng, giảm chi phí trả trước",12,,(70.336.842),83.214.619,12.0,,-70336842.0,83214619.0
"- Tăng, giảm chứng khoán kinh doanh","2. Điều chỉnh cho các khoản: > - Tăng, giảm chứng khoán kinh doanh","- Tăng, giảm chứng khoán kinh doanh",13,,-,,13.0,,,
- Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > - Tiền lãi vay đã trả,- Tiền lãi vay đã trả,14,,(17.556.219.766),(14.110.922.320),14.0,,-17556219766.0,-14110922320.0
- Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > - Thuế thu nhập doanh nghiệp đã nộp,- Thuế thu nhập doanh nghiệp đã nộp,15,V.10,(21.453.064.425),(2.232.347),15.0,,-21453064425.0,-2232347.0
- Tiền thu khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > - Tiền thu khác từ hoạt động kinh doanh,- Tiền thu khác từ hoạt động kinh doanh,16,,-,,16.0,,,
- Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > - Tiền chi khác cho hoạt động kinh doanh,- Tiền chi khác cho hoạt động kinh doanh,17,,(45.000.000),(46.000.000),17.0,,-45000000.0,-46000000.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,322.469.902.906,(320.199.414.101),20.0,,322469902906.0,-320199414101.0
