row_label_raw,row_label_full,Số cuối năm,Nguyên giá > Số cuối năm,Hao mòn lũy kế > Số cuối năm,Giá trị còn lại > Số cuối năm,numeric__Nguyên giá > Số cuối năm,numeric__Hao mòn lũy kế > Số cuối năm,numeric__Giá trị còn lại > Số cuối năm
Tầng 5 tòa HACC1,Tầng 5 tòa HACC1,Tầng 5 tòa HACC1,31.826.085.906,(6.734.201.881),25.091.884.025,31826085906.0,-6734201881.0,25091884025.0
Tầng 1 tòa nhà CT1 - Mễ Trì,Tầng 1 tòa nhà CT1 - Mễ Trì,Tầng 1 tòa nhà CT1 - Mễ Trì,12.878.700.000,(3.535.465.590),9.343.234.410,12878700000.0,-3535465590.0,9343234410.0
Cộng,Cộng,Cộng,44.704.785.906,(10.269.667.471),34.435.118.435,44704785906.0,-10269667471.0,34435118435.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Tầng 5 tòa HACC1,Số đầu năm > Tầng 5 tòa HACC1,Tầng 5 tòa HACC1,31.826.085.906,(5.938.686.409),25.887.399.497,31826085906.0,-5938686409.0,25887399497.0
Tầng 1 tòa nhà CT1 - Mễ Trì,Số đầu năm > Tầng 1 tòa nhà CT1 - Mễ Trì,Tầng 1 tòa nhà CT1 - Mễ Trì,12.878.700.000,(3.257.508.042),9.621.191.958,12878700000.0,-3257508042.0,9621191958.0
Cộng,Số đầu năm > Cộng,Cộng,44.704.785.906,(9.196.194.451),35.508.591.455,44704785906.0,-9196194451.0,35508591455.0
