row_label_raw,row_label_full,col_0,Vay ngắn hạnngân hàng,Vay ngắn hạntổ chức khác,Cộng,numeric__Vay ngắn hạnngân hàng,numeric__Vay ngắn hạntổ chức khác,numeric__Cộng
Số đầu năm,Số đầu năm,Số đầu năm,300.000.000.000,-,300.000.000.000,300000000000.0,,300000000000.0
Số tiền vay phát sinh trong năm (*),Số tiền vay phát sinh trong năm (*),Số tiền vay phát sinh trong năm (*),704.177.838.732,15.000.000.000,719.177.838.732,704177838732.0,15000000000.0,719177838732.0
Số tiền vay đã trả trong năm (*),Số tiền vay đã trả trong năm (*),Số tiền vay đã trả trong năm (*),(954.664.700.223),(7.500.000.000),(962.164.700.223),-954664700223.0,-7500000000.0,-962164700223.0
Số cuối năm,Số cuối năm,Số cuối năm,49.513.138.509,7.500.000.000,57.013.138.509,49513138509.0,7500000000.0,57013138509.0
