row_label_raw,row_label_full,col_0,31/12/2020,31/12/2020_1,31/12/2020_2,01/01/2020,01/01/2020_1,01/01/2020_2,numeric__31/12/2020,numeric__31/12/2020_1,numeric__31/12/2020_2,numeric__01/01/2020,numeric__01/01/2020_1,numeric__01/01/2020_2
,,,Số lượng CP,Giá gốc VND,Dự phòng VND,Số lượng CP,Giá gốc VND,Dự phòng VND,,,,,,
III. Đầu tư tài chính dài hạn,III. Đầu tư tài chính dài hạn,III. Đầu tư tài chính dài hạn,III. Đầu tư tài chính dài hạn,III. Đầu tư tài chính dài hạn,III. Đầu tư tài chính dài hạn,III. Đầu tư tài chính dài hạn,III. Đầu tư tài chính dài hạn,III. Đầu tư tài chính dài hạn,,,,,,
Đầu tư vào Công ty con,III. Đầu tư tài chính dài hạn > Đầu tư vào Công ty con,Đầu tư vào Công ty con,,2.193.770.036.914,(20.587.180.739),,2.096.270.036.914,(11.940.120.365),,2193770036914.0,-20587180739.0,,2096270036914.0,-11940120365.0
Công ty CP Vật tư Kỹ thuật Nông nghiệp Cần Thơ,III. Đầu tư tài chính dài hạn > Công ty CP Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty CP Vật tư Kỹ thuật Nông nghiệp Cần Thơ,83.700.523,880.593.089.954,-,83.700.523,880.593.089.954,-,83700523.0,880593089954.0,,83700523.0,880593089954.0,
Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T,III. Đầu tư tài chính dài hạn > Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T,,100.000.000.000,-,-,100.000.000.000,-,,100000000000.0,,,100000000000.0,
Công ty CP Dược phẩm Cửu Long,III. Đầu tư tài chính dài hạn > Công ty CP Dược phẩm Cửu Long,Công ty CP Dược phẩm Cửu Long,42.402.616,656.566.946.960,-,42.402.616,656.566.946.960,-,42402616.0,656566946960.0,,42402616.0,656566946960.0,
Công ty CP Đầu tư Bất động sản F.I.T,III. Đầu tư tài chính dài hạn > Công ty CP Đầu tư Bất động sản F.I.T,Công ty CP Đầu tư Bất động sản F.I.T,31.900.000,319.000.000.000,-,31.900.000,319.000.000.000,-,31900000.0,319000000000.0,,31900000.0,319000000000.0,
Công ty CP F.I.T Consumer (*),III. Đầu tư tài chính dài hạn > Công ty CP F.I.T Consumer (*),Công ty CP F.I.T Consumer (*),23.761.000,237.610.000.000,(20.587.180.739),14.011.000,140.110.000.000,(11.940.120.365),23761000.0,237610000000.0,-20587180739.0,14011000.0,140110000000.0,-11940120365.0
"Đầu tư vào Công ty liên doanh, liên kết","III. Đầu tư tài chính dài hạn > Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết",,-,-,,58.948.400.000,-,,,,,58948400000.0,
Công ty CP Chứng khoán Đại Nam (**),III. Đầu tư tài chính dài hạn > Công ty CP Chứng khoán Đại Nam (**),Công ty CP Chứng khoán Đại Nam (**),-,-,-,3.983.000,58.948.400.000,-,,,,3983000.0,58948400000.0,
,,,,2.193.770.036.914,(20.587.180.739),,2.155.218.436.914,(11.940.120.365),,2193770036914.0,-20587180739.0,,2155218436914.0,-11940120365.0
