row_label_raw,row_label_full,II. Đầu tư nằm giữ đến ngày đáo hạn,31/12/2020 > Giá gốcVND > II. Đầu tư nằm giữ đến ngày đáo hạn,31/12/2020 > Giá trị ghi sốVND > II. Đầu tư nằm giữ đến ngày đáo hạn,31/12/2020 > Dự phòngVND > II. Đầu tư nằm giữ đến ngày đáo hạn,01/01/2020 > Giá gốcVND > II. Đầu tư nằm giữ đến ngày đáo hạn,01/01/2020 > Giá trị ghi sốVND > II. Đầu tư nằm giữ đến ngày đáo hạn,01/01/2020 > Dự phòngVND > II. Đầu tư nằm giữ đến ngày đáo hạn,numeric__31/12/2020 > Giá gốcVND > II. Đầu tư nằm giữ đến ngày đáo hạn,numeric__31/12/2020 > Giá trị ghi sốVND > II. Đầu tư nằm giữ đến ngày đáo hạn,numeric__31/12/2020 > Dự phòngVND > II. Đầu tư nằm giữ đến ngày đáo hạn,numeric__01/01/2020 > Giá gốcVND > II. Đầu tư nằm giữ đến ngày đáo hạn,numeric__01/01/2020 > Giá trị ghi sốVND > II. Đầu tư nằm giữ đến ngày đáo hạn,numeric__01/01/2020 > Dự phòngVND > II. Đầu tư nằm giữ đến ngày đáo hạn
Ngắn hạn,Ngắn hạn,Ngắn hạn,739.993.513.591,739.778.369.863,(215.143.728),856.005.257.828,855.790.114.100,(215.143.728),739993513591.0,739778369863.0,-215143728.0,856005257828.0,855790114100.0,-215143728.0
- Tiền gửi có kỳ hạn (*),- Tiền gửi có kỳ hạn (*),- Tiền gửi có kỳ hạn (*),172.681.369.863,172.681.369.863,-,280.000.000.000,280.000.000.000,-,172681369863.0,172681369863.0,,280000000000.0,280000000000.0,
- Trái phiếu,- Trái phiếu,- Trái phiếu,20.000.000.000,20.000.000.000,-,10.000.000.000,10.000.000.000,-,20000000000.0,20000000000.0,,10000000000.0,10000000000.0,
- Các khoản đầu tư khác (**),- Các khoản đầu tư khác (**),- Các khoản đầu tư khác (**),547.312.143.728,547.097.000.000,(215.143.728),566.005.257.828,565.790.114.100,(215.143.728),547312143728.0,547097000000.0,-215143728.0,566005257828.0,565790114100.0,-215143728.0
Công Ty CP Đầu Tư Thương Mại Hoa Sen Việt Nam,Công Ty CP Đầu Tư Thương Mại Hoa Sen Việt Nam,Công Ty CP Đầu Tư Thương Mại Hoa Sen Việt Nam,105.000.000.000,105.000.000.000,-,304.551.407.000,304.551.407.000,-,105000000000.0,105000000000.0,,304551407000.0,304551407000.0,
Công ty CP Đầu tư Bất Đông Sản F.I.T,Công ty CP Đầu tư Bất Đông Sản F.I.T,Công ty CP Đầu tư Bất Đông Sản F.I.T,220.283.000.000,220.283.000.000,-,37.527.000.000,37.527.000.000,-,220283000000.0,220283000000.0,,37527000000.0,37527000000.0,
Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,135.000.000.000,135.000.000.000,-,12.165.000.000,12.165.000.000,-,135000000000.0,135000000000.0,,12165000000.0,12165000000.0,
Công ty CP FIT Cosmetics,Công ty CP FIT Cosmetics,Công ty CP FIT Cosmetics,6.475.000.000,6.475.000.000,-,22.500.000.000,22.500.000.000,-,6475000000.0,6475000000.0,,22500000000.0,22500000000.0,
Công ty CP Đầu tư và Phát triển Nông sản,Công ty CP Đầu tư và Phát triển Nông sản,Công ty CP Đầu tư và Phát triển Nông sản,70.339.000.000,70.339.000.000,-,99.795.068.000,99.795.068.000,-,70339000000.0,70339000000.0,,99795068000.0,99795068000.0,
Hưng Yên,Hưng Yên,Hưng Yên,Hưng Yên,Hưng Yên,Hưng Yên,Hưng Yên,Hưng Yên,Hưng Yên,,,,,,
Công ty CP Today Cosmetics,Hưng Yên > Công ty CP Today Cosmetics,Công ty CP Today Cosmetics,10.000.000.000,10.000.000.000,-,10.000.000.000,10.000.000.000,-,10000000000.0,10000000000.0,,10000000000.0,10000000000.0,
Các công ty khác,Hưng Yên > Các công ty khác,Các công ty khác,-,-,-,79.251.639.100,79.251.639.100,-,,,,79251639100.0,79251639100.0,
Nguyễn Trương Ban,Hưng Yên > Nguyễn Trương Ban,Nguyễn Trương Ban,215.143.728,-,(215.143.728),215.143.728,-,(215.143.728),215143728.0,,-215143728.0,215143728.0,,-215143728.0
Dài hạn,Dài hạn,Dài hạn,-,-,-,-,-,-,,,,,,
,,,739.993.513.591,739.778.369.863,(215.143.728),856.005.257.828,855.790.114.100,(215.143.728),739993513591.0,739778369863.0,-215143728.0,856005257828.0,855790114100.0,-215143728.0
