row_label_raw,row_label_full,col_0,31/12/2020VND,Tăng trong kỳVND,Giảm trong kỳVND,01/01/2020VND,numeric__31/12/2020VND,numeric__Tăng trong kỳVND,numeric__Giảm trong kỳVND,numeric__01/01/2020VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,44.704.785.906,-,(40.159.649.250),84.864.435.156,44704785906.0,,-40159649250.0,84864435156.0
- Tầng 4-HACC1 - Phần diện tích cho thuê,- Tầng 4-HACC1 - Phần diện tích cho thuê,- Tầng 4-HACC1 - Phần diện tích cho thuê,-,-,(40.159.649.250),40.159.649.250,,,-40159649250.0,40159649250.0
- Tầng 5-HACC1 - Phần diện tích cho thuê,- Tầng 5-HACC1 - Phần diện tích cho thuê,- Tầng 5-HACC1 - Phần diện tích cho thuê,31.826.085.906,-,-,31.826.085.906,31826085906.0,,,31826085906.0
- Tầng 1 tòa nhà CT1 Mễ Trì,- Tầng 1 tòa nhà CT1 Mễ Trì,- Tầng 1 tòa nhà CT1 Mễ Trì,12.878.700.000,-,-,12.878.700.000,12878700000.0,,,12878700000.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,(4.902.302.371),(1.710.413.694),3.104.448.623,(6.296.337.300),-4902302371.0,-1710413694.0,3104448623.0,-6296337300.0
- Tầng 4-HACC1 - Phần diện tích cho thuê,- Tầng 4-HACC1 - Phần diện tích cho thuê,- Tầng 4-HACC1 - Phần diện tích cho thuê,-,(636.940.674),3.104.448.623,(2.467.507.949),,-636940674.0,3104448623.0,-2467507949.0
- Tầng 5-HACC1 - Phần diện tích cho thuê,- Tầng 5-HACC1 - Phần diện tích cho thuê,- Tầng 5-HACC1 - Phần diện tích cho thuê,(2.756.624.521),(795.515.472),-,(1.961.109.049),-2756624521.0,-795515472.0,,-1961109049.0
- Tầng 1 tòa nhà CT1 Mễ Trì,- Tầng 1 tòa nhà CT1 Mễ Trì,- Tầng 1 tòa nhà CT1 Mễ Trì,(2.145.677.850),(277.957.548),-,(1.867.720.302),-2145677850.0,-277957548.0,,-1867720302.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,39.802.483.535,(1.710.413.694),(37.055.200.627),78.568.097.856,39802483535.0,-1710413694.0,-37055200627.0,78568097856.0
- Tầng 4-HACC1 - Phần diện tích cho thuê,- Tầng 4-HACC1 - Phần diện tích cho thuê,- Tầng 4-HACC1 - Phần diện tích cho thuê,-,(636.940.674),(37.055.200.627),37.692.141.301,,-636940674.0,-37055200627.0,37692141301.0
- Tầng 5-HACC1 - Phần diện tích cho thuê,- Tầng 5-HACC1 - Phần diện tích cho thuê,- Tầng 5-HACC1 - Phần diện tích cho thuê,29.069.461.385,(795.515.472),-,29.864.976.857,29069461385.0,-795515472.0,,29864976857.0
- Tầng 1 tòa nhà CT1 Mễ Trì,- Tầng 1 tòa nhà CT1 Mễ Trì,- Tầng 1 tòa nhà CT1 Mễ Trì,10.733.022.150,(277.957.548),-,11.010.979.698,10733022150.0,-277957548.0,,11010979698.0
