row_label_raw,row_label_full,STT,Tên Công ty,Trụ sở chính,Tỷ lệ phần sở hữu,Tỷ lệ quyền biểu quyết nằm giữ,Hoạt động chính,numeric__Tên Công ty,numeric__Trụ sở chính,numeric__Tỷ lệ phần sở hữu,numeric__Tỷ lệ quyền biểu quyết nằm giữ,numeric__Hoạt động chính
,,,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,,,,,
5,5,5,Công ty CP Chế biến Thực phẩm xuất khẩu Miền Tây,Cần Thơ,"54,80%","96,66%",Chế biến nông sản,,,0.5479999999999999,0.9666,
6,6,6,Công ty CP Hạt giống TSC,Cần Thơ,"55,74%","99,74%",Kinh doanh hạt giống,,,0.5574,0.9974,
7,7,7,Công ty CP FIT Consumer,Hồ Chí Minh,"64,49%","100,00%",Kinh doanh hàng hóa tiêu dùng,,,0.6448999999999999,1.0,
8,8,8,Công ty CP Giống Cây trồng Nông Tín,Hồ Chí Minh,"44,03%","77,67%","Sản xuất, kinh doanh giống cây trồng",,,0.4403,0.7767000000000001,
9,9,9,Công ty CP Westfood Hậu Giang,Hậu Giang,"53,70%","98,00%",Chế biến nông sản,,,0.537,0.98,
10,10,10,"Công ty Liên doanh Sản xuất Kinh doanh, Xuất nhập khẩu Dược phẩm và Trang thiết bị y tế",Lào,"38,05%","51,00%",Giới thiệu thuốc,,,0.38049999999999995,0.51,
11,11,11,Công ty TNHH MTV Dược phẩm VPC-Sài Gòn,Hồ Chí Minh,"74,61%","100,00%","Kinh doanh được phẩm, dụng cụ y tế",,,0.7461,1.0,
12,12,12,Công ty CP Dược phẩm Benovas,Hồ Chí Minh,"74,53%","99,90%","Kinh doanh được phẩm, trang thiết bị y tế",,,0.7453,0.9990000000000001,
13,13,13,Công ty CP Thiết bị Y tế Benovas,Vĩnh Long,"46,26%","62,00%","Sản xuất và kinh doanh dụng cụ, trang thiết bị y tế",,,0.46259999999999996,0.62,
14,14,14,Công ty CP Thuốc Ung thư Benovas,Hà Nội,"41,04%","55,00%","Sản xuất thuốc, hóa được và được liệu",,,0.4104,0.55,
,,,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,
1,1,1,Công ty Cổ phần nước khoáng Khánh Hòa,Khánh Hòa,"31,60%","49,00%",Sản xuất nước khoáng và các sản phẩm từ nước khoáng,,,0.316,0.49,
2,2,2,Công ty Cổ phần FIT Cosmetics,Hồ Chí Minh,"25,33%","39,28%",Phân phối ngành hóa mỹ phẩm,,,0.25329999999999997,0.39280000000000004,
3,3,3,Công ty Cổ phần Mũi Dinh Ecopark,Ninh Thuận,"49,84%","50,00%","Dịch vụ hỗ trợ liên quan đến vận tải, dịch vụ lưu trú ngắn ngày, dịch vụ ăn uống phục vụ lưu động, bán buôn đồ uống",,,0.4984,0.5,
