row_label_raw,row_label_full,col_0,31/12/2020 > Giá trị VND,31/12/2020 > Dự phòng VND,01/01/2020 > Giá trị VND,01/01/2020 > Dự phòng VND,numeric__31/12/2020 > Giá trị VND,numeric__31/12/2020 > Dự phòng VND,numeric__01/01/2020 > Giá trị VND,numeric__01/01/2020 > Dự phòng VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,5.777.534.326,(99.436.956),4.514.020.937,(99.436.956),5777534326.0,-99436956.0,4514020937.0,-99436956.0
Công ty CP FIT Cosmestics,Công ty CP FIT Cosmestics,Công ty CP FIT Cosmestics,3.367.072.240,-,2.762.416.240,-,3367072240.0,,2762416240.0,
Công ty CP Dược Phẩm Cửu Long,Công ty CP Dược Phẩm Cửu Long,Công ty CP Dược Phẩm Cửu Long,804.110.446,-,846.839.520,-,804110446.0,,846839520.0,
Công ty CP chế biến thực phẩm xuất khẩu Miền Tây,Công ty CP chế biến thực phẩm xuất khẩu Miền Tây,Công ty CP chế biến thực phẩm xuất khẩu Miền Tây,250.002.506,-,-,-,250002506.0,,,
Công ty CP Thuốc Ung Thư BENOVAS,Công ty CP Thuốc Ung Thư BENOVAS,Công ty CP Thuốc Ung Thư BENOVAS,393.185.801,-,-,-,393185801.0,,,
Công ty CP Nước khoáng Khánh Hòa,Công ty CP Nước khoáng Khánh Hòa,Công ty CP Nước khoáng Khánh Hòa,284.608.824,-,200.861.100,-,284608824.0,,200861100.0,
Chi nhánh Công ty CP FIT Cosmestic,Chi nhánh Công ty CP FIT Cosmestic,Chi nhánh Công ty CP FIT Cosmestic,256.537.000,-,256.537.000,-,256537000.0,,256537000.0,
Phải thu đối tượng khác,Phải thu đối tượng khác,Phải thu đối tượng khác,422.017.509,(99.436.956),447.367.077,(99.436.956),422017509.0,-99436956.0,447367077.0,-99436956.0
,,,5.777.534.326,(99.436.956),4.514.020.937,(99.436.956),5777534326.0,-99436956.0,4514020937.0,-99436956.0
Trong đó: Phải thu của khách hàng là các bên liên,Trong đó: Phải thu của khách hàng là các bên liên,Trong đó: Phải thu của khách hàng là các bên liên,5.516.806.827,,4.233.014.660,,5516806827.0,,4233014660.0,
