row_label_raw,row_label_full,col_0,31/12/2020VND,Số phải nộp trong nămVND,Số đã thực nộp/bù trừ trong nămVND,01/01/2020VND,numeric__31/12/2020VND,numeric__Số phải nộp trong nămVND,numeric__Số đã thực nộp/bù trừ trong nămVND,numeric__01/01/2020VND
Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,,,,
- Thuế giá trị gia tăng phải nộp,Thuế và các khoản phải nộp > - Thuế giá trị gia tăng phải nộp,- Thuế giá trị gia tăng phải nộp,-,5.729.767.460,5.729.767.460,-,,5729767460.0,5729767460.0,
- Thuế thu nhập doanh nghiệp,Thuế và các khoản phải nộp > - Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,1.051.466.396,1.460.234.862,3.013.575.874,2.604.807.408,1051466396.0,1460234862.0,3013575874.0,2604807408.0
- Thuế thu nhập cá nhân,Thuế và các khoản phải nộp > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,64.068.239,1.156.053.936,1.182.491.047,90.505.350,64068239.0,1156053936.0,1182491047.0,90505350.0
- Các loại thuế khác,Thuế và các khoản phải nộp > - Các loại thuế khác,- Các loại thuế khác,-,17.111.376,17.111.376,-,,17111376.0,17111376.0,
,,,1.115.534.635,8.363.167.634,9.942.945.757,2.695.312.758,1115534635.0,8363167634.0,9942945757.0,2695312758.0
,,,31/12/2020VND,Số phải thu trong nămVND,Số đã thực thu/khẩu trừ trong nămVND,01/01/2020VND,,,,
Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,,,,
- Thuế Giá trị gia tăng,Thuế và các khoản phải thu > - Thuế Giá trị gia tăng,- Thuế Giá trị gia tăng,-,-,45.960.468,45.960.468,,,45960468.0,45960468.0
,,,-,-,45.960.468,45.960.468,,,45960468.0,45960468.0
