row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2020 VND,Năm 2019 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2020 VND,numeric__Năm 2019 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,19,65.618.865.463,22.168.672.419,1.0,19.0,65618865463.0,22168672419.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,10,,65.618.865.463,22.168.672.419,10.0,,65618865463.0,22168672419.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,20,56.428.514.336,10.907.494.734,11.0,20.0,56428514336.0,10907494734.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,9.190.351.127,11.261.177.685,20.0,,9190351127.0,11261177685.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,21,55.924.383.285,50.145.136.937,21.0,21.0,55924383285.0,50145136937.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,22,29.601.768.672,18.333.925.213,22.0,22.0,29601768672.0,18333925213.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,5.521.322.051,5.596.574.365,23.0,,5521322051.0,5596574365.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,23,22.731.317.122,21.017.629.364,26.0,23.0,22731317122.0,21017629364.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,,12.781.648.618,21.986.253.165,30.0,,12781648618.0,21986253165.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,,1.626.395.942,4.139.969.013,31.0,,1626395942.0,4139969013.0
Chi phí khác,Chi phí khác,Chi phí khác,32,,1.399.790.942,1.304.247.297,32.0,,1399790942.0,1304247297.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,40,,226.605.000,2.835.721.716,40.0,,226605000.0,2835721716.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,,13.008.253.618,24.821.974.881,50.0,,13008253618.0,24821974881.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,25,1.460.234.862,3.903.160.152,51.0,25.0,1460234862.0,3903160152.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,,-,-,52.0,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,11.548.018.756,20.918.814.729,60.0,,11548018756.0,20918814729.0
