row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023 VND,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023 VND
Công ty CP Đầu tư Hải Thạch B.O.T,Công ty CP Đầu tư Hải Thạch B.O.T,Công ty CP Đầu tư Hải Thạch B.O.T,"Cổ đông lớn, Công ty có liên quan của Thành viên HĐQT Võ Thụy Linh",Chi phí lãi vay,-,2.029.294.948,,,,2029294948.0
Công ty CP Đầu tư Hải Thạch B.O.T,Công ty CP Đầu tư Hải Thạch B.O.T,Công ty CP Đầu tư Hải Thạch B.O.T,"Cổ đông lớn, Công ty có liên quan của Thành viên HĐQT Võ Thụy Linh",Trả tiền vay,-,58.111.400.000,,,,58111400000.0
Công ty CP Đầu tư Hải Thạch B.O.T,Công ty CP Đầu tư Hải Thạch B.O.T,Công ty CP Đầu tư Hải Thạch B.O.T,"Cổ đông lớn, Công ty có liên quan của Thành viên HĐQT Võ Thụy Linh",Trả tiền lãi vay,-,23.642.753.053,,,,23642753053.0
Công ty Cổ phần An ninh Đèo Cả,Công ty Cổ phần An ninh Đèo Cả,Công ty Cổ phần An ninh Đèo Cả,"Công ty con của Công ty mẹ, Công ty có liên quan của Trường Ban kiểm soát Nguyễn Minh Giang","Mua hàng hóa, dịch vụ",29.126.281.830,25.157.351.185,,,29126281830.0,25157351185.0
Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,Công ty có liên quan của Trường Ban kiểm soát Nguyễn Minh Giang,Chi phí lãi vay,-,1.511.232.876,,,,1511232876.0
Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,Công ty có liên quan của Trường Ban kiểm soát Nguyễn Minh Giang,Trả tiền vay,-,44.000.000.000,,,,44000000000.0
Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,Công ty có liên quan của Trường Ban kiểm soát Nguyễn Minh Giang,Trả tiền lãi vay,-,20.161.583.331,,,,20161583331.0
Công ty Cổ phần Đầu tư Thương mại Quốc tế Hà Thành,Công ty Cổ phần Đầu tư Thương mại Quốc tế Hà Thành,Công ty Cổ phần Đầu tư Thương mại Quốc tế Hà Thành,Công ty có liên quan của Phó Chủ tịch HĐQT Nguyễn Hữu Hùng đến ngày 16/04/2024,Chi trả lợi nhuận cho Nhà đầu tư,-,19.759.545,,,,19759545.0
Công ty Cổ phần Đầu tư Thương mại Quốc tế Hà Thành,Công ty Cổ phần Đầu tư Thương mại Quốc tế Hà Thành,Công ty Cổ phần Đầu tư Thương mại Quốc tế Hà Thành,Công ty có liên quan của Phó Chủ tịch HĐQT Nguyễn Hữu Hùng đến ngày 16/04/2024,Nhận tiền góp vốn,-,400.000.000,,,,400000000.0
Công ty Cổ phần BOT Hưng Phát,Công ty Cổ phần BOT Hưng Phát,Công ty Cổ phần BOT Hưng Phát,Công ty con của Công ty mẹ,Bù đắp lợi nhuận nhà đầu tư,6.316.980.013,-,,,6316980013.0,
