row_label_raw,row_label_full,col_0,Tại ngày31.12.2024VND,Phát sinh trong năm > Vay dài hạn đến hạn trả(*) VND,Phát sinh trong năm > Tăng VND,Phát sinh trong năm > Giảm VND,Tại ngày01.01.2024VND,numeric__Tại ngày31.12.2024VND,numeric__Phát sinh trong năm > Vay dài hạn đến hạn trả(*) VND,numeric__Phát sinh trong năm > Tăng VND,numeric__Phát sinh trong năm > Giảm VND,numeric__Tại ngày01.01.2024VND
Bên thứ ba,Bên thứ ba,Bên thứ ba,1.080.704.037.549,963.914.991.143,482.800.327.687,1.370.169.436.763,1.004.158.155.482,1080704037549.0,963914991143.0,482800327687.0,1370169436763.0,1004158155482.0
Ngân hàng TMCP Công Thương Việt Nam - CN Hà Nội,Ngân hàng TMCP Công Thương Việt Nam - CN Hà Nội,Ngân hàng TMCP Công Thương Việt Nam - CN Hà Nội,804.000.000.000,884.000.000.000,-,803.000.000.000,723.000.000.000,804000000000.0,884000000000.0,,803000000000.0,723000000000.0
Ngân hàng TMCP Công Thương Việt Nam - CN Đà Nẵng,Ngân hàng TMCP Công Thương Việt Nam - CN Đà Nẵng,Ngân hàng TMCP Công Thương Việt Nam - CN Đà Nẵng,106.433.453.611,1.333.721.831,226.840.878.426,300.881.643.486,179.140.496.840,106433453611.0,1333721831.0,226840878426.0,300881643486.0,179140496840.0
Ngân hàng TMCP Tiên Phong - CN Thăng Long Hà Nội,Ngân hàng TMCP Tiên Phong - CN Thăng Long Hà Nội,Ngân hàng TMCP Tiên Phong - CN Thăng Long Hà Nội,66.173.627.465,4.639.182.564,105.650.839.882,97.201.909.324,53.085.514.343,66173627465.0,4639182564.0,105650839882.0,97201909324.0,53085514343.0
Ngân hàng TMCP Việt Á - CN Hà Nội,Ngân hàng TMCP Việt Á - CN Hà Nội,Ngân hàng TMCP Việt Á - CN Hà Nội,66.667.000.000,66.667.000.000,-,30.855.000.000,30.855.000.000,66667000000.0,66667000000.0,,30855000000.0,30855000000.0
Ngân hàng TMCP Việt Nam Thịnh Vương,Ngân hàng TMCP Việt Nam Thịnh Vương,Ngân hàng TMCP Việt Nam Thịnh Vương,30.154.869.725,-,150.308.609.379,128.189.023.650,8.035.283.996,30154869725.0,,150308609379.0,128189023650.0,8035283996.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Nam Hà Nội,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Nam Hà Nội,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Nam Hà Nội,3.780.000.000,3.780.000.000,-,3.780.000.000,3.780.000.000,3780000000.0,3780000000.0,,3780000000.0,3780000000.0
Công ty Cho thuê Tài chính TNHH MTV Quốc tế Chailease,Công ty Cho thuê Tài chính TNHH MTV Quốc tế Chailease,Công ty Cho thuê Tài chính TNHH MTV Quốc tế Chailease,1.772.608.776,1.772.608.776,-,1.772.608.776,1.772.608.776,1772608776.0,1772608776.0,,1772608776.0,1772608776.0
Công ty Cho thuê tài chính TNHH BIDV - Sumi Trust Chi nhánh Đà Nẵng,Công ty Cho thuê tài chính TNHH BIDV - Sumi Trust Chi nhánh Đà Nẵng,Công ty Cho thuê tài chính TNHH BIDV - Sumi Trust Chi nhánh Đà Nẵng,1.722.477.972,1.722.477.972,-,1.722.477.972,1.722.477.972,1722477972.0,1722477972.0,,1722477972.0,1722477972.0
"Cán bộ, công nhân viên","Cán bộ, công nhân viên","Cán bộ, công nhân viên",-,-,-,2.766.773.555,2.766.773.555,,,,2766773555.0,2766773555.0
Cộng,Cộng,Cộng,1.080.704.037.549,963.914.991.143,482.800.327.687,1.370.169.436.763,1.004.158.155.482,1080704037549.0,963914991143.0,482800327687.0,1370169436763.0,1004158155482.0
